purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/3.50/41,MOOC10/3.50,17240612,2 schilderijtjes,2 schilderijtjes,art_products,3,2,1.0,0.5,0,0,0,0
MOOC10/3.50/42,MOOC10/3.50,17240612,2 schilderijtjes,2 schilderijtjes,art_products,3,2,1.0,0.5,0,0,0,0
MOOC10/3.54/225,MOOC10/3.54,17220720,2 schilderijen,2 schilderijen,art_products,3,2,1.0,0.5,0,0,0,0
MOOC10/3.66/20,MOOC10/3.66,17240602,2 schilderijen,2 schilderijen en 1 spiegeltje,art_products,3,2,1.0,0.5,1,0,0,0
MOOC10/3.74/53,MOOC10/3.74,17290309,1 schilderij,"1 schilderij, 1 stoof en 1 waaijer",art_products,3,1,1.0,1.0,1,0,0,0
MOOC10/3.76/23,MOOC10/3.76,17271110,2 schilderijen,2 schilderijen met lijsten,art_products,3,2,1.0,0.5,1,0,0,0
MOOC10/4.133/45,MOOC10/4.133,17370429,4 schilderijen,4 schilderijen,art_products,4,4,1.0,0.25,0,0,0,0
MOOC10/5.22/393,MOOC10/5.22,17380428,5 schilderijen,"5 porcelijne schotels, 5 schilderijen, 1 blicke bus en 1 tinne schotel",art_products,5,5,1.0,0.2,1,0,0,0
MOOC10/5.70/86,MOOC10/5.70,17460224,2 schilderyen,2 schilderyen,art_products,5,2,1.0,0.5,0,0,0,0
MOOC10/5.71/54,MOOC10/5.71,17460723,4 schilderijen,4 schilderijen,art_products,5,4,1.0,0.25,0,0,0,0
MOOC10/11.17/175,MOOC10/11.17,17741205/17741206,9 schilderijen,9 schilderijen,art_products,11,9,1.0,0.11,0,0,0,0
MOOC10/11.57/369,MOOC10/11.57,17761223/17761224,3 schilderijen,3 schilderijen,art_products,11,3,1.0,0.33,0,0,0,0
MOOC10/11.62/453,MOOC10/11.62,17770220/17770221,1 schilderijtje,"1 casje met 8 glasen in zoort, 1 schilderijtje en 1 rasp",art_products,11,1,1.0,1.0,1,0,0,0
MOOC10/14.48/215,MOOC10/14.48,17840406,1 schilderijen,1 schilderijen,art_products,14,1,1.0,1.0,0,0,0,0
MOOC10/14.63/41,MOOC10/14.63,17850506/17850507,1 parthij schilderijen,"1 parthij schilderijen, 2 kistjes, 2 seijfferlijen, 1 verlakte bak en wat romm:",art_products,14,1,1.0,1.0,1,1,0,0
MOOC10/14.65/193,MOOC10/14.65,17850225,6 glase schilderijtjes,6 glase schilderijtjes,art_products,14,6,1.0,0.17,0,0,0,0
MOOC10/15.4/52,MOOC10/15.4,17851011,4 schilderijen,4 schilderijen,art_products,15,4,1.0,0.25,0,0,0,0
MOOC10/15.27/68,MOOC10/15.27,17870126,3 schilderijen,3 schilderijen,art_products,15,3,1.0,0.33,0,0,0,0
MOOC10/15.39/44,MOOC10/15.39,17870622,7 schilderijen in soort,7 schilderijen in soort,art_products,15,7,1.0,0.14,0,0,0,0
MOOC10/15.91/35,MOOC10/15.91,17890926,1 schilderij,2 spiegels en 1 schilderij,art_products,15,1,1.0,1.0,1,0,0,0
MOOC10/15.113/815,MOOC10/15.113,17891116/17891118,1 parthij schilderijen,1 parthij schilderijen,art_products,15,1,1.0,1.0,0,1,0,0
MOOC10/16.2/119,MOOC10/16.2,17910923,4 schilderijen,4 schilderijen,art_products,16,4,1.0,0.25,0,0,0,0
MOOC10/16.30/98,MOOC10/16.30,17891110,2 schilderijen,1 spiegel en 2 schilderijen,art_products,16,2,1.0,0.5,1,0,0,0
MOOC10/18.8/49,MOOC10/18.8,17970415,11 schilderijtjes in zoort,11 schilderijtjes in zoort,art_products,18,11,1.0,0.09,0,0,0,0
