purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/3.76/29,MOOC10/3.76,17271110,1 ijsere balans+sch,1 ijsere balans+sch,balance,3,1,1.0,1.0,0,0,0,0
MOOC10/11.62/150,MOOC10/11.62,17770220/17770221,1 balans+sch,1 tabaksmes en 1 balans+sch,balance,11,1,1.0,1.0,1,0,0,0
MOOC10/15.68/24,MOOC10/15.68,17880908,1 balans+sch,1 balans+sch,balance,15,1,1.0,1.0,0,0,0,0
MOOC10/15.96/130,MOOC10/15.96,17901230,1 balans+sch,"1 balans+sch, ½ lb: gewigt en 1 kleijn belletje",balance,15,1,1.0,1.0,1,0,0,0
MOOC10/16.52/5,MOOC10/16.52,17911010/17911011,1 ijsere balans,1 led: kistje en 1 ijsere balans,balance,16,1,1.0,1.0,1,0,0,0
MOOC10/20.78/7,MOOC10/20.78,18050702/18050703,1 balans+sch,1 balans+sch,balance,20,1,1.0,1.0,0,0,0,0
MOOC10/23.27/88,MOOC10/23.27,18081208,1 ijzere balance,1 ijzere balance en 1 zeepvorm,balance,23,1,1.0,1.0,1,0,0,0
MOOC10/24.19/32,MOOC10/24.19,18080204,1 ijzere balans+sch,1 ijzere balans+sch,balance,24,1,1.0,1.0,0,0,0,0
MOOC10/6.46/50,MOOC10/6.46,17550507,1 houte balans +gewigt,1 houte balans +gewigt,balance,6,1,1.0,1.0,0,0,0,0
MOOC10/7.15/15,MOOC10/7.15,17551020,1 houte balans+sch +gewigt,1 houte balans+sch +gewigt,balance,7,1,1.0,1.0,0,0,0,0
MOOC10/7.16/34,MOOC10/7.16,17551107,1 houte balans+sch,1 hakbord met 1 houte balans+sch,balance,7,1,1.0,1.0,1,0,0,0
MOOC10/9.14/399,MOOC10/9.14,17651104/17651105,1 balans+sch,1 balans+sch,balance,9,1,1.0,1.0,0,0,0,0
MOOC10/9.60/59,MOOC10/9.60,17690501,1 ijsere balans+sch,1 ijsere balans+sch,balance,9,1,1.0,1.0,0,0,0,0
MOOC10/3.38/153,MOOC10/3.38,17220624,1 ijzere balans+sch,1 ijzere balans+sch,balance,3,1,2.0,2.0,0,0,0,0
MOOC10/11.12/407,MOOC10/11.12,17740829/17740830,1 balans+sch +gewigt,1 balans+sch +gewigt,balance,11,1,2.0,2.0,0,0,0,0
MOOC10/11.47/311,MOOC10/11.47,17761107/17761108,1 balans,"1 cas met wat thee, 1 balans en wat romm:g",balance,11,1,2.0,2.0,1,0,0,0
MOOC10/12.21/59,MOOC10/12.21,17781022,1 ijzere balans+sch,1 ijzere balans+sch,balance,12,1,2.0,2.0,0,0,0,0
MOOC10/12.27/114,MOOC10/12.27,"17790512, 17790514",1 ijzere balans+sch,1 ijzere balans+sch,balance,12,1,2.0,2.0,0,0,0,0
MOOC10/12.32/205,MOOC10/12.32,17761101,1 balans+sch,1 balans+sch,balance,12,1,2.0,2.0,0,0,0,0
MOOC10/14.11/160,MOOC10/14.11,17830324/17830325,1 ijzere balans+sch,1 ijzere balans+sch,balance,14,1,2.0,2.0,0,0,0,0
MOOC10/15.12/14,MOOC10/15.12,17860505/17860506, ,"9 sikkels, 1 houte schaal+bal",balance,15,,2.0,-99,1,0,0,0
MOOC10/15.31/144,MOOC10/15.31,17870706,4 cop: schaal+bal,4 cop: schaal+bal,balance,15,4,2.0,0.5,0,0,0,0
MOOC10/15.86/204,MOOC10/15.86,17890722,1 cop: balans+sch,1 cop: balans+sch,balance,15,1,2.0,2.0,0,0,0,0
MOOC10/16.61/52,MOOC10/16.61,17930215,1 ijser balans+sch,1 ijser balans+sch,balance,16,1,2.0,2.0,0,0,0,0
MOOC10/17.26/142,MOOC10/17.26,17950508,1 ijzer balans+sch,1 ijzer balans+sch,balance,17,1,2.0,2.0,0,0,0,0
MOOC10/19.20/28,MOOC10/19.20,18010404, kopere balans,1 tinne ketel en kopere balans,balance,19,,2.0,-99,1,0,0,0
MOOC10/2.9/355,MOOC10/2.9,17190315,1 ijsere balans,1 ijsere balans,balance,2,1,2.0,2.0,0,0,0,0
MOOC10/20.12/143,MOOC10/20.12,18021015,1 balans+sch +gewigt,1 balans+sch +gewigt,balance,20,1,2.0,2.0,0,0,0,0
MOOC10/20.33/34,MOOC10/20.33,18031217,1 houte balans+sch +gewigt,1 houte balans+sch +gewigt,balance,20,1,2.0,2.0,0,0,0,0
