purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/10.52/145,MOOC10/10.52,17710916,1 bedt,1 kadel met 1 bedt,beds,10,1,10.0,10.0,1,0,0,0
MOOC10/23.45/12,MOOC10/23.45,[yyyy]0715,1 bedt,1 bedt en toebehooren,beds,23,1,10.0,10.0,1,0,0,0
MOOC10/24.2/406,MOOC10/24.2,18090112/18090113,1 bedt,1 bedt en toebehoren,beds,24,1,10.0,10.0,1,0,0,0
MOOC10/23.55/1,MOOC10/23.55,18090130,1 bedt,1 bedt en toebehooren,beds,23,1,15.0,15.0,1,0,0,0
MOOC10/23.61/26,MOOC10/23.61,18081129,1 bedt,1 bedt met zijn toebehooren,beds,23,1,15.0,15.0,1,0,0,0
MOOC10/26.4/64,MOOC10/26.4,18121120,1 bedt,1 kadel met een bedt,beds,26,1,15.0,15.0,1,0,0,0
MOOC10/10.28/102,MOOC10/10.28,17691120,1 bedt,1 bedt met sijn toebehooren,beds,10,1,16.0,16.0,1,0,0,0
MOOC10/14.53/102,MOOC10/14.53,17840917,1 bedt,1 bedt met zijn toebehooren,beds,14,1,19.0,19.0,1,0,0,0
MOOC10/23.2/11,MOOC10/23.2,18071230,1 bedt,1 veldkadel en 1 bedt,beds,23,1,20.0,20.0,1,0,0,0
MOOC10/22.107/15,MOOC10/22.107,18080716,1 bedt,1 bedt en toebehooren,beds,22,1,25.0,25.0,1,0,0,0
MOOC10/26.4/32,MOOC10/26.4,18121120,1 bedt,1 kadel met een bedt,beds,26,1,26.0,26.0,1,0,0,0
MOOC10/23.27/92,MOOC10/23.27,18081208,1 bedt,1 bedt en toebehooren,beds,23,1,40.0,40.0,1,0,0,0
MOOC10/23.27/93,MOOC10/23.27,18081208,1 bedt,1 bedt en toebehooren,beds,23,1,41.0,41.0,1,0,0,0
MOOC10/24.35/21,MOOC10/24.35,18100723/18100724,1 bedt,"1 bedt, 2 peuluwen en 1 kussen",beds,24,1,50.0,50.0,1,0,0,0
MOOC10/23.27/91,MOOC10/23.27,18081208,1 bedt,1 bedt en toebehooren,beds,23,1,53.0,53.0,1,0,0,0
MOOC10/24.5/159,MOOC10/24.5,18091114,1 bedt,"1 bedt, 1 peuluw, 4 kussens en 1 deeken",beds,24,1,54.0,54.0,1,0,0,0
MOOC10/23.59/14,MOOC10/23.59,18090227,1 bedt,"1 bedt, 1 peuluw, 6 kussens en 2 deekens",beds,23,1,60.0,60.0,1,0,0,0
MOOC10/24.1/106,MOOC10/24.1,18011103/18011104,1 bedt,"1 bedt, 1 peuluw, vier kussens en 1 chitze combaars",beds,24,1,70.0,70.0,1,0,0,0
MOOC10/22.62/1,MOOC10/22.62,18070920,1 scheeps bedt,1 scheeps bedt,beds,22,1,16.04,16.04,0,0,0,0
MOOC10/12.8/38,MOOC10/12.8,17770721,1 bedt,1 bedt,beds,12,1,20.04,20.04,0,0,0,0
MOOC10/24.2/377,MOOC10/24.2,18090112/18090113,1 bedt,1 bedt en toebehoren,beds,24,1,20.04,20.04,1,0,0,0
MOOC10/26.4/31,MOOC10/26.4,18121120,1 bedt,1 kadel met een bedt,beds,26,1,30.04,30.04,1,0,0,0
MOOC10/26.11/16,MOOC10/26.11,18120914,1 bedt,1 bedt en toebehooren,beds,26,1,63.04,63.04,1,0,0,0
MOOC10/24.1/109,MOOC10/24.1,18011103/18011104,1 bedt,"1 bedt, 1 peuluw, 4 kussen en 1 chitze combaars",beds,24,1,91.04,91.04,1,0,0,0
MOOC10/24.2/376,MOOC10/24.2,18090112/18090113,1 bedt,1 bedt en toebehoren,beds,24,1,17.08,17.08,1,0,0,0
MOOC10/12.8/37,MOOC10/12.8,17770721,1 bedt,een bedt,beds,12,1,21.15,21.15,0,0,0,0
MOOC10/5.78/190,MOOC10/5.78,17480205,1 capocke bed,"1 capocke bed, 1 capocke peuluw en 1 capocke kussen",beds,5,1,1.0,1.0,1,0,0,0
MOOC10/10.36/82,MOOC10/10.36,17710430,1 bed,"1 bed, 2 kussens en 1 wolle deeken",beds,10,1,1.0,1.0,1,0,0,0
MOOC10/14.62/1,MOOC10/14.62,17850812/17840813,1 bed,"1 bed, 1 peuluwe, 1 kussen en 1 combaars",beds,14,1,2.0,2.0,1,0,0,0
MOOC10/17.45_1/2/150,MOOC10/17.45_1/2,17960328,1 kleijn bed,1 kleijn bed en 2 kussens,beds,17,1,2.0,2.0,1,0,0,0
MOOC10/17.45_1/2/151,MOOC10/17.45_1/2,17960328,1 kleijn bed,1 kleijn bed en 2 kussens,beds,17,1,2.0,2.0,1,0,0,0
MOOC10/2.9/478,MOOC10/2.9,17190315,1 tinne bedstoof,1 tinne bedstoof en 2 schotels,beds,2,1,2.0,2.0,1,0,0,0
