purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/4.113/28,MOOC10/4.113,17330527,1 partij boeken,1 partij boeken,books,4,1,1.0,1.0,0,1,0,0
MOOC10/5.57_1/2/36,MOOC10/5.57_1/2,17450914,8 boeken,8 boeken,books,5,8,1.0,0.12,0,0,0,0
MOOC10/5.64/57,MOOC10/5.64,17280414,2 kerkboekjes,1 doosje met rommeling en 2 kerkboekjes,books,5,2,1.0,0.5,1,0,0,0
MOOC10/10.2/639,MOOC10/10.2,17680411/17680414,1 parthij boeken,1 parthij boeken,books,10,1,1.0,1.0,0,1,0,0
MOOC10/10.2/667,MOOC10/10.2,17680411/17680414,1 parthij boeken,1 parthij boeken,books,10,1,1.0,1.0,0,1,0,0
MOOC10/10.7/274,MOOC10/10.7,17680525,1 partij boeken,1 partij boeken,books,10,1,1.0,1.0,0,1,0,0
MOOC10/10.22/1585,MOOC10/10.22,17690123/17690130,2 boeken,2 boeken,books,10,2,1.0,0.5,0,0,0,0
MOOC10/10.50/173,MOOC10/10.50,17711130,1 parthij boeken,26 forken en 1 parthij boeken,books,10,1,1.0,1.0,1,1,0,0
MOOC10/10.57/85,MOOC10/10.57,17720505,6 boeken,6 boeken,books,10,6,1.0,0.17,0,0,0,0
MOOC10/11.5/308,MOOC10/11.5,17730329/17730330 17730401/17730402,3 boeken,3 boeken,books,11,3,1.0,0.33,0,0,0,0
MOOC10/11.5/309,MOOC10/11.5,17730329/17730330 17730401/17730402,3 boeken,3 boeken,books,11,3,1.0,0.33,0,0,0,0
MOOC10/11.5/347,MOOC10/11.5,17730329/17730330 17730401/17730402,2 boeken,2 boeken,books,11,2,1.0,0.5,0,0,0,0
MOOC10/11.12/266,MOOC10/11.12,17740829/17740830,1 boeken,1 boeken,books,11,1,1.0,1.0,0,0,0,0
MOOC10/11.12/269,MOOC10/11.12,17740829/17740830,1 partij boeken,1 partij boeken,books,11,1,1.0,1.0,0,1,0,0
MOOC10/11.51/203,MOOC10/11.51,17760920,1 boek,1 boek,books,11,1,1.0,1.0,0,0,0,0
MOOC10/11.51/204,MOOC10/11.51,17760920,1 boek,1 boek,books,11,1,1.0,1.0,0,0,0,0
MOOC10/11.51/205,MOOC10/11.51,17760920,1 boek,1 boek,books,11,1,1.0,1.0,0,0,0,0
MOOC10/11.62/443,MOOC10/11.62,17770220/17770221,3 boeken,3 boeken,books,11,3,1.0,0.33,0,0,0,0
MOOC10/12.13/52,MOOC10/12.13,17780211,6 boeken in zoort,6 boeken in zoort,books,12,6,1.0,0.17,0,0,0,0
MOOC10/12.17/255,MOOC10/12.17,17780421/17780422,1 boek,"1 boek, 1 schaar en 1 blijke saffraan",books,12,1,1.0,1.0,1,0,0,0
MOOC10/12.48/180,MOOC10/12.48,17781207,2 boeken,2 boeken,books,12,2,1.0,0.5,0,0,0,0
MOOC10/13.17/22,MOOC10/13.17,17810522,5 boeken in zoort,5 boeken in zoort,books,13,5,1.0,0.2,0,0,0,0
MOOC10/13.65/103,MOOC10/13.65,17820504,1 boek,1 boek,books,13,1,1.0,1.0,0,0,0,0
MOOC10/13.65/104,MOOC10/13.65,17820504,1 hoogduitsche boek,1 hoogduitsche boek,books,13,1,1.0,1.0,0,0,0,0
MOOC10/14.29/18,MOOC10/14.29,17840103,1 gebede boek,1 gebede boek van coenr:d mel,books,14,1,1.0,1.0,1,0,0,0
MOOC10/14.29/23,MOOC10/14.29,17840103,1 gebede boek,1 gebede boek van coenr:d mel,books,14,1,1.0,1.0,1,0,0,0
MOOC10/14.29/24,MOOC10/14.29,17840103,1 gebede boek,1 gebede boek van coenr:d mel,books,14,1,1.0,1.0,1,0,0,0
MOOC10/14.35/172,MOOC10/14.35,17840820,1 parthij oude boeken,1 bak met 1 parthij oude boeken,books,14,1,1.0,1.0,1,1,1,0
MOOC10/14.36/39,MOOC10/14.36,17840917,3 boeken in soort,3 boeken in soort,books,14,3,1.0,0.33,0,0,0,0
MOOC10/14.48/119,MOOC10/14.48,17840406,5 boeken in soort,5 boeken in soort,books,14,5,1.0,0.2,0,0,0,0
MOOC10/14.54/8,MOOC10/14.54,17840917,7 boeken in soort,7 boeken in soort,books,14,7,1.0,0.14,0,0,0,0
MOOC10/15.24/367,MOOC10/15.24,17861228/17861230,1 boeken,1 boeken,books,15,1,1.0,1.0,0,0,0,0
MOOC10/15.24/370,MOOC10/15.24,17861228/17861230,1 boeken,1 boeken,books,15,1,1.0,1.0,0,0,0,0
MOOC10/15.24/375,MOOC10/15.24,17861228/17861230,3 boeken,3 boeken,books,15,3,1.0,0.33,0,0,0,0
MOOC10/15.24/381,MOOC10/15.24,17861228/17861230,1 parthij boeken,1 parthij boeken,books,15,1,1.0,1.0,0,1,0,0
MOOC10/15.27/70,MOOC10/15.27,17870126,1 parthij boeken,1 parthij boeken,books,15,1,1.0,1.0,0,1,0,0
MOOC10/15.31/105,MOOC10/15.31,17870706,4 boeken,4 boeken,books,15,4,1.0,0.25,0,0,0,0
MOOC10/15.31/107,MOOC10/15.31,17870706,5 boeken,5 boeken,books,15,5,1.0,0.2,0,0,0,0
MOOC10/15.32/186,MOOC10/15.32,17870615/17870616,6 boeken,6 boeken,books,15,6,1.0,0.17,0,0,0,0
MOOC10/15.32/188,MOOC10/15.32,17870615/17870616,7 boeken,7 boeken,books,15,7,1.0,0.14,0,0,0,0
MOOC10/15.54/127,MOOC10/15.54,17880112,2 boeken,2 boeken,books,15,2,1.0,0.5,0,0,0,0
MOOC10/15.84/447,MOOC10/15.84,17890513/17890514,1 boeken,1 boeken,books,15,1,1.0,1.0,0,0,0,0
MOOC10/15.92/136,MOOC10/15.92,17890929,1 boek,1 boek,books,15,1,1.0,1.0,0,0,0,0
MOOC10/16.23/55,MOOC10/16.23,17910131,1 boek,1 boek,books,16,1,1.0,1.0,0,0,0,0
MOOC10/16.23/56,MOOC10/16.23,17910131,1 boek,1 boek,books,16,1,1.0,1.0,0,0,0,0
MOOC10/16.23/76,MOOC10/16.23,17910131,4 school boekjes,4 school boekjes,books,16,4,1.0,0.25,0,0,0,0
MOOC10/16.23/81,MOOC10/16.23,17910131,6 school boekjes,6 school boekjes,books,16,6,1.0,0.17,0,0,0,0
MOOC10/16.38/147,MOOC10/16.38,17930530,1 boek,1 boek,books,16,1,1.0,1.0,0,0,0,0
MOOC10/17.4/111,MOOC10/17.4,17931112,1 boek,1 boek,books,17,1,1.0,1.0,0,0,0,0
MOOC10/17.24/57,MOOC10/17.24,17950509,2 boeken,2 doosjes en 2 boeken,books,17,2,1.0,0.5,1,0,0,0
MOOC10/17.25/90,MOOC10/17.25,17951030/17951031,1 boek in folio n:o 9,1 boek in folio n:o 9,books,17,1,1.0,1.0,0,0,0,0
MOOC10/17.25/95,MOOC10/17.25,17951030/17951031,1 boek in folio n:o 15,1 boek in folio n:o 15,books,17,1,1.0,1.0,0,0,0,0
MOOC10/17.25/113,MOOC10/17.25,17951030/17951031,2 boeken in quarto n:o 22,2 boeken in quarto n:o 22 en 23,books,17,2,1.0,0.5,1,0,0,0
MOOC10/17.25/171,MOOC10/17.25,17951030/17951031,3 boeken in octavo n:o 48,3 boeken in octavo n:o 48 en 39,books,17,3,1.0,0.33,1,0,0,0
MOOC10/17.25/172,MOOC10/17.25,17951030/17951031,1 boeken in octavo n:o 50,1 boeken in octavo n:o 50,books,17,1,1.0,1.0,0,0,0,0
MOOC10/17.30/306,MOOC10/17.30,17950326/17950328,6 boeke,6 boeke,books,17,6,1.0,0.17,0,0,0,0
MOOC10/17.38/165,MOOC10/17.38,17951110/17951111,1 boek,1 boek,books,17,1,1.0,1.0,0,0,0,0
MOOC10/17.38/173,MOOC10/17.38,17951110/17951111,1 boek,1 boek,books,17,1,1.0,1.0,0,0,0,0
MOOC10/17.57_1/2/43,MOOC10/17.57_1/2,17961126,3 boeken,3 boeken,books,17,3,1.0,0.33,0,0,0,0
MOOC10/17.67_1/2/31,MOOC10/17.67_1/2,17970708,10 boeken in soort,10 boeken in soort,books,17,10,1.0,0.1,0,0,0,0
MOOC10/18.72/50,MOOC10/18.72,17970525,2 boeke,2 boeke,books,18,2,1.0,0.5,0,0,0,0
MOOC10/19.18/8,MOOC10/19.18,18000117,1 gebede boek,1 kisje met wat schoenmakersgereedschap en 1 gebede boek,books,19,1,1.0,1.0,1,0,0,0
MOOC10/19.39/5,MOOC10/19.39,18020305,1 engelsche gebeede boek,1 engelsche gebeede boek,books,19,1,1.0,1.0,0,0,0,0
