purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/2.29/96,MOOC10/2.29,17210110,2 koeijen,2 koeijen,cattle,2,2,21.19,10.6,0,0,0,0
MOOC10/2.25/208,MOOC10/2.25,17210224,2 koeijen,2 koeijen met een kalf,cattle,2,2,23.19,11.6,1,0,0,0
MOOC10/2.25/220,MOOC10/2.25,17210224,2 koeijen,2 koeijen en 2 kalvers,cattle,2,2,31.19,15.6,1,0,0,0
MOOC10/4.125/1,MOOC10/4.125,17341025,2 koeijen,2 ossen en 2 koeijen,cattle,4,2,36.19,18.09,1,0,0,0
MOOC10/13.24/40,MOOC10/13.24,17810724,2 koeijen,2 koeijen en 2 kalvers,cattle,13,2,106.19,53.09,1,0,0,0
MOOC10/12.30/186,MOOC10/12.30,17790607/17790608,1 koeij,1 koeij en 1 kalf,cattle,12,1,2.0,2.0,1,0,0,0
MOOC10/14.48/86,MOOC10/14.48,17840406,1 sekoeij rotting knop,1 sekoeij rotting knop en voorts wat knopen,cattle,14,1,2.0,2.0,1,0,0,0
MOOC10/10.49/76,MOOC10/10.49,17711104,2 koeijen,2 koeijen en 2 kalveren,cattle,10,2,3.0,1.5,1,0,0,0
MOOC10/11.1/5,MOOC10/11.1,17721214,1 koeij,1 koeij,cattle,11,1,3.0,3.0,0,0,0,0
MOOC10/13.24/80,MOOC10/13.24,17810724,1 koeij,1 koeij,cattle,13,1,3.0,3.0,0,0,0,0
MOOC10/15.105/311,MOOC10/15.105,No date,1 koeij,een koeij,cattle,15,1,3.0,3.0,0,0,0,0
MOOC10/16.59/59,MOOC10/16.59,17930622,2 koeijje,"2 koeijje, 2 kalvers",cattle,16,2,3.0,1.5,1,0,0,0
MOOC10/4.134/14,MOOC10/4.134,17360706,1 koeij,1 koeij en 1 kalf,cattle,4,1,4.0,4.0,1,0,0,0
