purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/5.58_1/2/30,MOOC10/5.58_1/2,17431212,1 gemakstoel,1 gemakstoel,chairs,5,1,2.19,2.19,0,0,0,0
MOOC10/5.56/139,MOOC10/5.56,17441204,12 stoelen,12 stoelen,chairs,5,12,8.19,0.68,0,0,0,0
MOOC10/3.38/223,MOOC10/3.38,17220624,1 stoel,1 stoel,chairs,3,1,1.0,1.0,0,0,0,0
MOOC10/3.63/17,MOOC10/3.63,17241011,1 swart ebbenhoute stoel,1 swart ebbenhoute stoel,chairs,3,1,1.0,1.0,0,0,0,0
MOOC10/3.71/3,MOOC10/3.71,17241106,2 oude stoelen,2 oude stoelen,chairs,3,2,1.0,0.5,0,0,1,0
MOOC10/4.120/84,MOOC10/4.120,17340609,1 stoel,1 stoel en 1 partij rommeling,chairs,4,1,1.0,1.0,1,0,0,0
MOOC10/5.74/156,MOOC10/5.74,17470111,1 dekstoel,1 dekstoel,chairs,5,1,1.0,1.0,0,0,0,0
MOOC10/5.74/315,MOOC10/5.74,17470111,2 stoelen,2 stoelen,chairs,5,2,1.0,0.5,0,0,0,0
MOOC10/5.78/249,MOOC10/5.78,17480205,6 stoelen,6 stoelen,chairs,5,6,1.0,0.17,0,0,0,0
MOOC10/10.11/255,MOOC10/10.11,17680201,3 stoelen,3 stoelen,chairs,10,3,1.0,0.33,0,0,0,0
MOOC10/10.14/231,MOOC10/10.14,17700427/17700428,1 dekstoel,1 dekstoel met zijn 2 spannen,chairs,10,1,1.0,1.0,1,0,0,0
MOOC10/10.82/12,MOOC10/10.82,17730227,2 dekstoelen,2 dekstoelen,chairs,10,2,1.0,0.5,0,0,0,0
MOOC10/10.84/84,MOOC10/10.84,17720914,3 stoelen,3 stoelen,chairs,10,3,1.0,0.33,0,0,0,0
MOOC10/12.1/162,MOOC10/12.1,17760528/17760530,1 stoel,1 stoel,chairs,12,1,1.0,1.0,0,0,0,0
MOOC10/13.42/303,MOOC10/13.42,17820415,2 hoekstoellen,2 hoekstoellen,chairs,13,2,1.0,0.5,0,0,0,0
MOOC10/14.28/81,MOOC10/14.28,1783,1 stoel,1 stoel,chairs,14,1,1.0,1.0,0,0,0,0
MOOC10/14.28/83,MOOC10/14.28,1783,1 dito stoel,1 dito stoel,chairs,14,1,1.0,1.0,0,0,0,0
MOOC10/15.82/31,MOOC10/15.82,17890318,1 dekstoel,1 dekstoel,chairs,15,1,1.0,1.0,0,0,0,0
MOOC10/16.21/140,MOOC10/16.21,17901115,4 oude stoelen,4 oude stoelen,chairs,16,4,1.0,0.25,0,0,1,0
MOOC10/16.39/23,MOOC10/16.39,17931028/17931029,1 oude stoel,1 kruijwaagen en 1 oude stoel,chairs,16,1,1.0,1.0,1,0,1,0
MOOC10/16.41/123,MOOC10/16.41,17921001,3 stoelen,drie stoelen,chairs,16,3,1.0,0.33,0,0,0,0
MOOC10/16.43/171,MOOC10/16.43,17921010,2 stoelen,twee stoelen,chairs,16,2,1.0,0.5,0,0,0,0
MOOC10/16.48/269,MOOC10/16.48,17920613/17920614,8 stoelen,8 stoelen,chairs,16,8,1.0,0.12,0,0,0,0
MOOC10/16.50/265,MOOC10/16.50,17910915/17910916,1 leuningstoelen,1 leuningstoelen,chairs,16,1,1.0,1.0,0,0,0,0
MOOC10/16.51/115,MOOC10/16.51,17910915,3 stoelen,3 stoelen,chairs,16,3,1.0,0.33,0,0,0,0
MOOC10/16.59/73,MOOC10/16.59,17930622,2 stoele,2 stoele,chairs,16,2,1.0,0.5,0,0,0,0
MOOC10/16.61/77,MOOC10/16.61,17930215,2 oude stoelen,2 oude stoelen,chairs,16,2,1.0,0.5,0,0,1,0
MOOC10/17.16_1/2/38,MOOC10/17.16_1/2,17940701,2 stoelen,2 stoelen,chairs,17,2,1.0,0.5,0,0,0,0
MOOC10/17.41/9,MOOC10/17.41,17960618,3 oude stoelen,3 oude stoelen,chairs,17,3,1.0,0.33,0,0,1,0
MOOC10/18.41/29,MOOC10/18.41,17970814,1 stoel,1 stoel,chairs,18,1,1.0,1.0,0,0,0,0
MOOC10/19.6/11,MOOC10/19.6,18000121,3 st:s stoelen,3 st:s stoelen,chairs,19,3,1.0,0.33,0,0,0,0
MOOC10/19.13/19,MOOC10/19.13,17990504,2 stoelen in zoort,2 stoelen in zoort,chairs,19,2,1.0,0.5,0,0,0,0
MOOC10/2.9/638,MOOC10/2.9,17190315,1 leuning stoel,1 leuning stoel,chairs,2,1,1.0,1.0,0,0,0,0
MOOC10/2.31/290,MOOC10/2.31,17211008,2 stoelen,2 stoelen,chairs,2,2,1.0,0.5,0,0,0,0
