purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/11.5/589,MOOC10/11.5,17730329/17730330 17730401/17730402,1 stuk wit chinaas linnen,1 stuk wit chinaas linnen,china,11,1,1.0,1.0,0,0,0,0
MOOC10/15.40/47,MOOC10/15.40,17870623,1 pakje chinaas inkt,1 pakje chinaas inkt,china,15,1,1.0,1.0,0,0,0,0
MOOC10/14.49/15,MOOC10/14.49,17840917,1 chinas linnense camisool,1 chinas linnense camisool,china,14,1,2.0,2.0,0,0,0,0
MOOC10/15.14/142,MOOC10/15.14,17860512/17860513,1 chinas verlact coffertje,1 chinas verlact coffertje,china,15,1,2.0,2.0,0,0,0,0
MOOC10/18.26/28,MOOC10/18.26,17981103,1 china’s slot,"1 china’s slot, 2 penne messen, 1 passer en 1 schaar",china,18,1,2.0,2.0,1,0,0,0
MOOC10/22.58/79,MOOC10/22.58,18071112, chinasche lemoentjes,1 balij met chinasche lemoentjes,china,22,,2.0,-99,1,0,0,0
MOOC10/24.29/85,MOOC10/24.29,18000723,2 chinaas linne broeken,2 chinaas linne broeken,china,24,2,2.0,1.0,0,0,0,0
MOOC10/12.38/455,MOOC10/12.38,17790816/17790817,1 chinase zijde somereel,1 chinase zijde somereel,china,12,1,3.0,3.0,0,0,0,0
MOOC10/14.65/78,MOOC10/14.65,17850225,4 stukken geel chinas linnen,4 stukken geel chinas linnen,china,14,4,3.0,0.75,0,0,1,0
MOOC10/15.8/247,MOOC10/15.8,17851114/17851115,4 chinasse schilderijen,4 chinasse schilderijen,china,15,4,3.0,0.75,0,0,0,0
MOOC10/15.20/63,MOOC10/15.20,17861013,1 verlakt chinas kistje,1 verlakt chinas kistje,china,15,1,3.0,3.0,0,0,0,0
MOOC10/23.43/156,MOOC10/23.43,18080819,1 stuk chinaas linne,1 stuk chinaas linne,china,23,1,3.0,3.0,0,0,0,0
MOOC10/11.41/1312,MOOC10/11.41,17741219/17741222,1 p:s chinaas linnen,1 p:s chinaas linnen en 1 lap vaderlands linnen,china,11,1,4.0,4.0,1,0,0,0
MOOC10/12.27/377,MOOC10/12.27,"17790512, 17790514",1 parthij chinase zijde,1 parthij chinase zijde,china,12,1,4.0,4.0,0,1,0,0
MOOC10/13.27/43,MOOC10/13.27,17810522,1 chinaas verlakte bak,1 chinaas verlakte bak en 1 lepelrak en 1 theepot,china,13,1,4.0,4.0,1,0,0,0
MOOC10/15.24/249,MOOC10/15.24,17861228/17861230,1 chinaas castje,1 chinaas castje,china,15,1,4.0,4.0,0,0,0,0
MOOC10/17.12/7,MOOC10/17.12,17940715/17940716,2 chinaas linne broeken,2 blaauwe baatjes en 2 chinaas linne broeken,china,17,2,4.0,2.0,1,0,0,0
MOOC10/22.39/19,MOOC10/22.39,18041108,1 chinaa’s linnense broek,1 chinaa’s linnense broek,china,22,1,4.0,4.0,0,0,0,0
MOOC10/14.65/149,MOOC10/14.65,17850225,6 stuk chinas linnen,6 stuk chinas linnen,china,14,6,5.0,0.83,0,0,0,0
MOOC10/11.41/880,MOOC10/11.41,17741219/17741222,7 stukken chinaas linnen,7 stukken chinaas linnen en 1 lap chinaas linnen,china,11,7,6.0,0.86,1,0,1,0
MOOC10/12.38/305,MOOC10/12.38,17790816/17790817,1 chinaas gemakstoel,1 chinaas gemakstoel,china,12,1,6.0,6.0,0,0,0,0
MOOC10/15.24/151,MOOC10/15.24,17861228/17861230,6 stucken chinaas linnen,6 stucken chinaas linnen,china,15,6,6.0,1.0,0,0,1,0
MOOC10/15.24/152,MOOC10/15.24,17861228/17861230,6 stucken chinaas linnen,6 stucken chinaas linnen,china,15,6,6.0,1.0,0,0,1,0
MOOC10/22.58/84,MOOC10/22.58,18071112, chinasche lemoentjes,1 balij met chinasche lemoentjes,china,22,,6.0,-99,1,0,0,0
MOOC10/20.87/238,MOOC10/20.87,18040607/18040608,3 chinas beeldjes,3 chinas beeldjes,china,20,3,7.0,2.33,0,0,0,0
MOOC10/19.11/291,MOOC10/19.11,18000505/18000506,1 stuk geele chinas linnen,3 stukke wit en 1 stuk geele chinas linnen,china,19,1,8.0,8.0,1,0,0,0
MOOC10/24.35/186,MOOC10/24.35,18100723/18100724,1 stuk chinaasch linnen,1 stuk chinaasch linnen en 1 stuk chitz,china,24,1,8.0,8.0,1,0,0,0
MOOC10/14.65/76,MOOC10/14.65,17850225,1 stuk wit chinas linnen,1 stuk wit chinas linnen,china,14,1,9.0,9.0,0,0,0,0
