purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/18.66/48,MOOC10/18.66,17991221,1 friese clock,1 friese clock,clocks,18,1,10.0,10.0,0,0,0,0
MOOC10/14.38/66,MOOC10/14.38,17840413/17840414,1 clock,1 clock,clocks,14,1,20.04,20.04,0,0,0,0
MOOC10/18.58/219,MOOC10/18.58,17980417,1 frieze klok,1 frieze klok,clocks,18,1,5.0,5.0,0,0,0,0
MOOC10/14.10/337,MOOC10/14.10,17830519/17830510/17830521,1 cop: klok,1 cop: klok,clocks,14,1,8.0,8.0,0,0,0,0
MOOC10/22.2/19,MOOC10/22.2,18061129,1 friesche klok,1 friesche klok,clocks,22,1,14.0,14.0,0,0,0,0
MOOC10/13.20/142,MOOC10/13.20,17811027,1 vriesche klok,1 vriesche klok,clocks,13,1,15.0,15.0,0,0,0,0
MOOC10/10.40/147,MOOC10/10.40,17701217,1 friese klok,1 friese klok,clocks,10,1,19.0,19.0,0,0,0,0
MOOC10/12.1/224,MOOC10/12.1,17760528/17760530,1 friesche klok,1 friesche klok,clocks,12,1,20.0,20.0,0,0,0,0
MOOC10/19.14/18,MOOC10/19.14,18000809,1 vriese klok,1 vriese klok,clocks,19,1,20.0,20.0,0,0,0,0
MOOC10/21.38/223,MOOC10/21.38,18060505,1 friesche klok,1 friesche klok,clocks,21,1,20.0,20.0,0,0,0,0
MOOC10/17.35/3,MOOC10/17.35,17951218/17951219,1 vriesche klok,1 vriesche klok,clocks,17,1,3.04,3.04,0,0,0,0
MOOC10/16.62/33,MOOC10/16.62,17930105,1 vriesche klok,1 vriesche klok,clocks,16,1,9.04,9.04,0,0,0,0
MOOC10/18.12/64,MOOC10/18.12,17981013,1 friese klok,1 friese klok,clocks,18,1,15.04,15.04,0,0,0,0
MOOC10/20.24/401,MOOC10/20.24,18040628/18040702/18040703,1 friese klok,1 friese klok,clocks,20,1,15.04,15.04,0,0,0,0
MOOC10/17.67_1/2/21,MOOC10/17.67_1/2,17970708,1 vriesse klok,1 vriesse klok,clocks,17,1,17.04,17.04,0,0,0,0
MOOC10/17.51/392,MOOC10/17.51,17960523/17960524,1 metaale klok,1 metaale klok,clocks,17,1,26.04,26.04,0,0,0,0
MOOC10/22.34/58,MOOC10/22.34,18070608/18070611,1 klok,1 klok,clocks,22,1,30.04,30.04,0,0,0,0
MOOC10/15.9/406,MOOC10/15.9,17851209/17851210,1 vriese klok,1 vriese klok,clocks,15,1,37.04,37.04,0,0,0,0
MOOC10/9.46/139,MOOC10/9.46,17680926,1 slave jongen genaamt klok,1 slave jongen genaamt klok van mandaar voetstoots,clocks,9,1,139.04,139.04,1,0,0,0
MOOC10/13.42/278,MOOC10/13.42,17820415,1 hangklok,1 hangklok,clocks,13,1,0.08,0.08,0,0,0,0
MOOC10/14.55/14,MOOC10/14.55,17841027,1 vriese klok,1 vriese klok,clocks,14,1,0.08,0.08,0,0,0,0
MOOC10/17.51/225,MOOC10/17.51,17960523/17960524,1 vriesse klok,1 vriesse klok,clocks,17,1,2.08,2.08,0,0,0,0
MOOC10/6.8/165,MOOC10/6.8,17500930/17501001,1 coper klok,1 coper klok,clocks,6,1,2.08,2.08,0,0,0,0
MOOC10/16.36/847,MOOC10/16.36,17940219/17940221,1 vriese klok,1 vriese klok,clocks,16,1,6.08,6.08,0,0,0,0
MOOC10/24.2/388,MOOC10/24.2,18090112/18090113,1 friesche klok,1 friesche klok,clocks,24,1,10.08,10.08,0,0,0,0
MOOC10/15.92/164,MOOC10/15.92,17890929,1 vriesche klok,1 vriesche klok,clocks,15,1,18.08,18.08,0,0,0,0
MOOC10/20.88/134,MOOC10/20.88,18050126,1 vriese klok,1 vriese klok,clocks,20,1,30.12,30.12,0,0,0,0
