purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/3.39/27,MOOC10/3.39,17220528,2 kapstokken,2 kapstokken,coatrack,3,2,1.0,0.5,0,0,0,0
MOOC10/3.45/6,MOOC10/3.45,17231028,1 kapstok,1 kapstok,coatrack,3,1,1.0,1.0,0,0,0,0
MOOC10/3.54/85,MOOC10/3.54,17220720,1 capstok,1 racken en 1 capstok,coatrack,3,1,1.0,1.0,1,0,0,0
MOOC10/3.95/26,MOOC10/3.95,17310508,1 kapstokje,"2 scheepskaasen, 1 doosje en 1 kapstokje",coatrack,3,1,1.0,1.0,1,0,0,0
MOOC10/4.137/18,MOOC10/4.137,17341220,1 kapstok,"1 rak, 1 kapstok en 2 ramen",coatrack,4,1,1.0,1.0,1,0,0,0
MOOC10/4.143/17,MOOC10/4.143,17360104,1 kapstok,1 schraag en 1 kapstok,coatrack,4,1,1.0,1.0,1,0,0,0
MOOC10/4.161/41,MOOC10/4.161,17361123,1 kapstok,1 kapstok,coatrack,4,1,1.0,1.0,0,0,0,0
MOOC10/5.72/10,MOOC10/5.72,17451210,1 kapstok,1 kapstok,coatrack,5,1,1.0,1.0,0,0,0,0
MOOC10/5.75/207,MOOC10/5.75,17470220,1 kapstok,1 rak en 1 kapstok,coatrack,5,1,1.0,1.0,1,0,0,0
MOOC10/11.60/7,MOOC10/11.60,17750220/17750221,3 capstokken,2 racken en 3 capstokken,coatrack,11,3,1.0,0.33,1,0,0,0
MOOC10/11.64/128,MOOC10/11.64,17761202,1 capstok,1 capstok,coatrack,11,1,1.0,1.0,0,0,0,0
MOOC10/12.35/13,MOOC10/12.35,17790322,1 capstok,1 capstok en 1 oude carijn,coatrack,12,1,1.0,1.0,1,0,0,0
MOOC10/12.38/266,MOOC10/12.38,17790816/17790817,1 houte peijlstok,"1 houte peijlstok, 1 rond balij en wat romm:g",coatrack,12,1,1.0,1.0,1,0,0,0
MOOC10/13.13/55,MOOC10/13.13,17810109,1 parthij laadstokken etc:a,1 casje met 1 parthij laadstokken etc:a,coatrack,13,1,1.0,1.0,1,1,0,0
MOOC10/13.34/16,MOOC10/13.34,17810724,1 capstok,1 capstok en 1 bank,coatrack,13,1,1.0,1.0,1,0,0,0
MOOC10/13.46/5,MOOC10/13.46,17820212/17820213,1 capstok,1 rakke en 1 capstok,coatrack,13,1,1.0,1.0,1,0,0,0
MOOC10/14.24/16,MOOC10/14.24,17830928,1 capstok,1 capstok,coatrack,14,1,1.0,1.0,0,0,0,0
MOOC10/14.38/172,MOOC10/14.38,17840413/17840414,2 capstokken,2 capstokken,coatrack,14,2,1.0,0.5,0,0,0,0
MOOC10/14.39/114,MOOC10/14.39,17841006,2 capstokken,1 rak en 2 capstokken,coatrack,14,2,1.0,0.5,1,0,0,0
MOOC10/15.12/123,MOOC10/15.12,17860505/17860506,1 kapstok,1 kapstok met zijn gordijn,coatrack,15,1,1.0,1.0,1,0,0,0
MOOC10/15.80_1/2/22,MOOC10/15.80_1/2,17890223,3 kapstokken,3 kapstokken,coatrack,15,3,1.0,0.33,0,0,0,0
MOOC10/16.50/193,MOOC10/16.50,17910915/17910916,1 kapstok,1 kapstok,coatrack,16,1,1.0,1.0,0,0,0,0
MOOC10/17.3/32,MOOC10/17.3,17930916,1 kapstok,1 zak en 1 kapstok,coatrack,17,1,1.0,1.0,1,0,0,0
MOOC10/17.70/65,MOOC10/17.70,17980505,1 capstok,1 pijpe rak en 1 capstok,coatrack,17,1,1.0,1.0,1,0,0,0
MOOC10/2.26/111,MOOC10/2.26,17210115,1 kapstok,1 kamer pot met een kapstok,coatrack,2,1,1.0,1.0,1,0,0,0
MOOC10/20.54/786,MOOC10/20.54,18041015/18041019,2 stokken,1 ladder en 2 stokken,coatrack,20,2,1.0,0.5,1,0,0,0
MOOC10/20.59/14,MOOC10/20.59,18050206,1 kapstok,1 kapstok,coatrack,20,1,1.0,1.0,0,0,0,0
MOOC10/21.48/19,MOOC10/21.48,18060415,1 kapstok,1 kapstok met wat romm:,coatrack,21,1,1.0,1.0,1,0,0,0
MOOC10/21.62/7,MOOC10/21.62,18051228,1 kapstok,1 kapstok en 1 vuurmand,coatrack,21,1,1.0,1.0,1,0,0,0
MOOC10/6.7/1,MOOC10/6.7,17520602,1 kapstok,1 kapstok,coatrack,6,1,1.0,1.0,0,0,0,0
MOOC10/6.50/862,MOOC10/6.50,17520523/17520527,1 kapstok,1 kapstok,coatrack,6,1,1.0,1.0,0,0,0,0
MOOC10/7.46/65,MOOC10/7.46,17561016,1 capstok,1 capstok en 1 geweer rack,coatrack,7,1,1.0,1.0,1,0,0,0
MOOC10/8.23/18,MOOC10/8.23,17600804,1 capstok,"2 racken, 1 capstok en 1 gieter",coatrack,8,1,1.0,1.0,1,0,0,0
MOOC10/9.6/70,MOOC10/9.6,17650330,1 capstok,1 capstok met 1 spiegel,coatrack,9,1,1.0,1.0,1,0,0,0
MOOC10/9.15/24,MOOC10/9.15,17640717/17640720,1 capstok,1 capstok met 1 parthij romm:,coatrack,9,1,1.0,1.0,1,0,0,0
MOOC10/9.62/116,MOOC10/9.62,17681123,1 kapstok,1 cop:e kookkeetel en 1 kapstok,coatrack,9,1,1.0,1.0,1,0,0,0
MOOC10/4.133/2,MOOC10/4.133,17370429,1 kapstok,"1 kruijwagen, 1 deur en 1 kapstok",coatrack,4,1,2.0,2.0,1,0,0,0
MOOC10/5.22/485,MOOC10/5.22,17380428,1 kapstok,"1 capocke buldsak, peuluw, kussen en 1 kapstok",coatrack,5,1,2.0,2.0,1,0,0,0
MOOC10/5.23/33,MOOC10/5.23,17390504,1 kapstok,1 pijperack met 1 kapstok en 2 spuwbalies,coatrack,5,1,2.0,2.0,1,0,0,0
MOOC10/12.40/183,MOOC10/12.40,17790909,1 capstok,1 capstok,coatrack,12,1,2.0,2.0,0,0,0,0
MOOC10/12.41/193,MOOC10/12.41,17790917,1 capstok,2 zakken met garst en 1 capstok,coatrack,12,1,2.0,2.0,1,0,0,0
MOOC10/15.12/125,MOOC10/15.12,17860505/17860506,2 kapstokken,2 kapstokken en 1 keldertje,coatrack,15,2,2.0,1.0,1,0,0,0
MOOC10/6.50/544,MOOC10/6.50,17520523/17520527,1 kapstok,"1 kapstok, 1 koornschop en 1 zift",coatrack,6,1,2.0,2.0,1,0,0,0
MOOC10/8.54/115,MOOC10/8.54,17640319,1 kapstok,1 kapstok met sijn gardijn,coatrack,8,1,2.0,2.0,1,0,0,0
MOOC10/4.123/9,MOOC10/4.123,17331102,1 kapstok,5 racken en 1 kapstok,coatrack,4,1,3.0,3.0,1,0,0,0
MOOC10/4.157/191,MOOC10/4.157,17370617,1 kapstok,2 racken en 1 kapstok,coatrack,4,1,3.0,3.0,1,0,0,0
MOOC10/11.9/4,MOOC10/11.9,17741107/17741108,4 stokken,4 stokken en 2 sweepen,coatrack,11,4,3.0,0.75,1,0,0,0
MOOC10/13.28/214,MOOC10/13.28,17810716/17810717,8 ijzere laadstokken,8 ijzere laadstokken,coatrack,13,8,3.0,0.38,0,0,0,0
MOOC10/15.42/124,MOOC10/15.42,17870824/17870825,1 kapstok,1 broodmes en 1 kapstok,coatrack,15,1,3.0,3.0,1,0,0,0
MOOC10/16.59/92,MOOC10/16.59,17930622,1 eijser kapstok,1 eijser kapstok,coatrack,16,1,3.0,3.0,0,0,0,0
MOOC10/18.69/211,MOOC10/18.69,18000113,2 kapstokken,1 broodmes en 2 kapstokken,coatrack,18,2,3.0,1.5,1,0,0,0
MOOC10/21.43/11,MOOC10/21.43,18050705,2 ijzere laadstokken,1 geweer loop en 2 ijzere laadstokken,coatrack,21,2,3.0,1.5,1,0,0,0
MOOC10/6.13/119,MOOC10/6.13,17501204,1 kapstok,1 tafel en 1 kapstok,coatrack,6,1,3.0,3.0,1,0,0,0
MOOC10/6.55/372,MOOC10/6.55,17551127/17551128,2 kapstokke,2 kapstokke en wat ijserw:k,coatrack,6,2,3.0,1.5,1,0,0,0
MOOC10/10.56/38,MOOC10/10.56,17711230,1 capstok,"1 zadel, 1 toom en 1 capstok",coatrack,10,1,4.0,4.0,1,0,0,0
MOOC10/12.20/1,MOOC10/12.20,17781026,1 ijsere laadstok,1 snaphaan met een ijsere laadstok,coatrack,12,1,4.0,4.0,1,0,0,0
MOOC10/14.35/89,MOOC10/14.35,17840820,1 capstok,1 capstok,coatrack,14,1,4.0,4.0,0,0,0,0
MOOC10/14.59/23,MOOC10/14.59,17841106,1 capstok,1 capstok en wat romm:g,coatrack,14,1,4.0,4.0,1,0,0,0
MOOC10/21.1/100,MOOC10/21.1,18060303,1 stok,1 stok met zilver gemonteerd,coatrack,21,1,4.0,4.0,1,0,0,0
MOOC10/10.86/277,MOOC10/10.86,17721026/17721027,1 kapstok,1 kapstok en 1 casje,coatrack,10,1,6.0,6.0,1,0,0,0
MOOC10/20.14/149,MOOC10/20.14,18040130,1 copere talstok,1 copere talstok,coatrack,20,1,6.0,6.0,0,0,0,0
MOOC10/15.14/55,MOOC10/15.14,17860512/17860513, zijn stokken,1 draagstoel met zijn stokken en banden,coatrack,15,,7.0,-99,1,0,0,0
MOOC10/15.108/220,MOOC10/15.108,17900528/17900529,4 kaasen aangestoken,4 kaasen aangestoken,coatrack,15,4,7.0,1.75,0,0,0,0
MOOC10/17.30/36,MOOC10/17.30,17950326/17950328,1 kapstok,1 kapstok,coatrack,17,1,8.0,8.0,0,0,0,0
MOOC10/7.14/91,MOOC10/7.14,17551110,6 stokke,1 oude troktafel met 6 stokke,coatrack,7,6,10.0,1.67,1,0,0,0
MOOC10/11.58/89,MOOC10/11.58,17750227/17750228, zijn stokken,1 draagstoel met zijn stokken en banden,coatrack,11,,12.0,-99,1,0,0,0
MOOC10/17.30/205,MOOC10/17.30,17950326/17950328, stokke,1 draagsoel en stokke,coatrack,17,,13.0,-99,1,0,0,0
MOOC10/18.4/41,MOOC10/18.4,17960826/17960827, stokken,1 draagstoel met stokken en banden,coatrack,18,,13.0,-99,1,0,0,0
MOOC10/13.28/26,MOOC10/13.28,17810716/17810717, zijn stokken,1 draagstoel met zijn stokken en banden,coatrack,13,,20.0,-99,1,0,0,0
MOOC10/20.15/24,MOOC10/20.15,18040418,1 laadstok,1 p:s pistolen kogel form en 1 laadstok,coatrack,20,1,20.0,20.0,1,0,0,0
MOOC10/12.27/60,MOOC10/12.27,"17790512, 17790514", zijn stokken,1 draagstoel met zijn stokken en banden,coatrack,12,,28.0,-99,1,0,0,0
MOOC10/16.11/296,MOOC10/16.11,17900401/17900403, stokken,1 dragstoel met stokken en banden,coatrack,16,,43.0,-99,1,0,0,0
MOOC10/17.37/73,MOOC10/17.37,17951218/17951219, stokken,1 draag stoel met stokken en banden,coatrack,17,,52.0,-99,1,0,0,0
MOOC10/17.70/116,MOOC10/17.70,17980505,2 strijstokk:,1 fiool met 2 strijstokk:,coatrack,17,2,52.0,26.0,1,0,0,0
MOOC10/15.32/23,MOOC10/15.32,17870615/17870616, stokken,1 draagstoel met stokken en banden,coatrack,15,,57.0,-99,1,0,0,0
MOOC10/17.7_1/2/155,MOOC10/17.7_1/2,17940120, de leening plaats gen:d de verstoke fontijn gel: over de vogel-rivier,een opstal van de leening plaats gen:d de verstoke fontijn gel: over de vogel-rivier,coatrack,17,,100.0,-99,1,0,0,0
MOOC10/2.3/162,MOOC10/2.3,17180725,1 kapstok,1 kapstok,coatrack,2,1,1.02,1.02,0,0,0,0
MOOC10/2.22/66,MOOC10/2.22,17201202,2 karnstokke,1 karn met 2 karnstokke,coatrack,2,2,1.02,0.51,1,0,0,0
MOOC10/10.7/180,MOOC10/10.7,17680525,1 graatstok,1 graatstok,coatrack,10,1,0.04,0.04,0,0,0,0
MOOC10/10.52/154,MOOC10/10.52,17710916,1 capstok,1 capstok,coatrack,10,1,0.04,0.04,0,0,0,0
MOOC10/11.17/342,MOOC10/11.17,17741205/17741206,2 capstokken,2 capstokken,coatrack,11,2,0.04,0.02,0,0,0,0
MOOC10/13.13/25,MOOC10/13.13,17810109,6 ongemaakte houte laadstokken,6 ongemaakte houte laadstokken,coatrack,13,6,0.04,0.01,0,0,0,0
MOOC10/15.8/158,MOOC10/15.8,17851114/17851115,1 capstok,1 rak en 1 capstok,coatrack,15,1,0.04,0.04,1,0,0,0
MOOC10/15.9/237,MOOC10/15.9,17851209/17851210,1 capstok,"2 worsthoorns, 1 porte d’ epée en 1 capstok",coatrack,15,1,0.04,0.04,1,0,0,0
MOOC10/15.22/50,MOOC10/15.22,17861228/17861230,1 capstok,2 rakken en 1 capstok,coatrack,15,1,0.04,0.04,1,0,0,0
MOOC10/15.55/9,MOOC10/15.55,17880215,1 kapstok,1 kapstok,coatrack,15,1,0.04,0.04,0,0,0,0
MOOC10/16.24/79,MOOC10/16.24,17900324,1 kapstok,1 kapstok,coatrack,16,1,0.04,0.04,0,0,0,0
MOOC10/16.25/23,MOOC10/16.25,17910328,1 kap stok,"1 boeke rak, 1 houte vuurstoof en 1 kap stok",coatrack,16,1,0.04,0.04,1,0,0,0
MOOC10/16.36/871,MOOC10/16.36,17940219/17940221,1 kapstok,1 kapstok,coatrack,16,1,0.04,0.04,0,0,0,0
MOOC10/20.6_1/2/1232,MOOC10/20.6_1/2,18030620/18030621,1 vangstok gordijn,1 vangstok gordijn,coatrack,20,1,0.04,0.04,0,0,0,0
MOOC10/24.31/83,MOOC10/24.31,18100820/18100821,2 kapstokken,3 harken en 2 kapstokken,coatrack,24,2,0.04,0.02,1,0,0,0
MOOC10/7.7/11,MOOC10/7.7,17551001,1 kapstok,1 kapstok en 1 geweerrak,coatrack,7,1,0.04,0.04,1,0,0,0
MOOC10/9.14/462,MOOC10/9.14,17651104/17651105, kapstok,1 ragebol en kapstok,coatrack,9,,0.04,-99,1,0,0,0
MOOC10/9.22/4,MOOC10/9.22,17670828,1 kapstok,1 rak en 1 kapstok,coatrack,9,1,0.04,0.04,1,0,0,0
MOOC10/9.30/43,MOOC10/9.30,17671026,1 capstok,3 racken en 1 capstok,coatrack,9,1,0.04,0.04,1,0,0,0
