purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/3.68/95,MOOC10/3.68,17261115,6 thee kopjes-en-6-thee-pieringetjes,6 thee kopjes-en-6-thee-pieringetjes,cups,3,6,1.0,0.17,0,0,0,0
MOOC10/4.130/94,MOOC10/4.130,17341025,42 porcelijne kopjes-en-pieringjes,"42 porcelijne kopjes-en-pieringjes, 1 porcelijne lampet en 8 trekpotjes",cups,4,42,1.0,0.02,1,0,0,0
MOOC10/4.131/46,MOOC10/4.131,17350516,12 porcelijne kopjes-en-pieringjes,12 porcelijne kopjes-en-pieringjes,cups,4,12,1.0,0.08,0,0,0,0
MOOC10/4.131/50,MOOC10/4.131,17350516,12 porcelijne kopjes-en-pieringjes,12 porcelijne kopjes-en-pieringjes,cups,4,12,1.0,0.08,0,0,0,0
MOOC10/4.131/51,MOOC10/4.131,17350516,12 porcelijne kopjes-en-pieringjes,12 porcelijne kopjes-en-pieringjes,cups,4,12,1.0,0.08,0,0,0,0
MOOC10/4.131/52,MOOC10/4.131,17350516,12 porcelijne kopjes-en-pieringjes,12 porcelijne kopjes-en-pieringjes,cups,4,12,1.0,0.08,0,0,0,0
MOOC10/4.131/53,MOOC10/4.131,17350516,12 porcelijne kopjes-en-pieringjes,12 porcelijne kopjes-en-pieringjes,cups,4,12,1.0,0.08,0,0,0,0
MOOC10/5.22/348,MOOC10/5.22,17380428,1 partij porcelijne kopjes-en-pieringjes,1 mand met 1 partij porcelijne kopjes-en-pieringjes en trekpotjes,cups,5,1,1.0,1.0,1,1,0,0
MOOC10/11.46/32,MOOC10/11.46,17761023,10 porc: copjes-met-haar-pieringjes,10 porc: copjes-met-haar-pieringjes,cups,11,10,1.0,0.1,0,0,0,0
MOOC10/11.60/311,MOOC10/11.60,17750220/17750221,10 porc: copjes-en-10-pierings,10 porc: copjes-en-10-pierings,cups,11,10,1.0,0.1,0,0,0,0
MOOC10/11.64/186,MOOC10/11.64,17761202,10 porc: copjes-en-10-pieringjes,10 porc: copjes-en-10-pieringjes,cups,11,10,1.0,0.1,0,0,0,0
MOOC10/15.3/237,MOOC10/15.3,17851003,1 parthij copjes-en-pierings,1 parthij copjes-en-pierings,cups,15,1,1.0,1.0,0,1,0,0
MOOC10/15.38/33,MOOC10/15.38,17870504,1 parthij kopjes,1 parthij kopjes en 1 mand,cups,15,1,1.0,1.0,1,1,0,0
MOOC10/15.58/91,MOOC10/15.58,17880403,10 porc:e kopjes-en-10-pierings,10 porc:e kopjes-en-10-pierings,cups,15,10,1.0,0.1,0,0,0,0
MOOC10/16.32/124,MOOC10/16.32,17900930,5 kopjes-en-5-pieringjes,5 kopjes-en-5-pieringjes,cups,16,5,1.0,0.2,0,0,0,0
MOOC10/16.52/257,MOOC10/16.52,17911010/17911011,10 theekopjes-en-10-pieringtjes,10 theekopjes-en-10-pieringtjes,cups,16,10,1.0,0.1,0,0,0,0
MOOC10/16.52/260,MOOC10/16.52,17911010/17911011,7 theekopjes-en-7-pieringtjes,7 theekopjes-en-7-pieringtjes,cups,16,7,1.0,0.14,0,0,0,0
MOOC10/18.3/174,MOOC10/18.3,17970405,4 kopjes-en-4-pierings,4 kopjes-en-4-pierings,cups,18,4,1.0,0.25,0,0,0,0
MOOC10/19.6/48,MOOC10/19.6,18000121,2 kopjes-en-pierings,2 kopjes-en-pierings,cups,19,2,1.0,0.5,0,0,0,0
MOOC10/19.6/49,MOOC10/19.6,18000121,1 kopjes-en-pierings,1 kopjes-en-pierings,cups,19,1,1.0,1.0,0,0,0,0
MOOC10/19.38/4,MOOC10/19.38,18001122,4 kopjes,"4 kopjes,-6-pieringjes en 1 melkkannetje",cups,19,4,1.0,0.25,1,0,0,0
MOOC10/19.66/216,MOOC10/19.66,18020127/18020128,5 kopjes-en-11-pierings,5 kopjes-en-11-pierings,cups,19,5,1.0,0.2,0,0,0,0
MOOC10/2.3/145,MOOC10/2.3,17180725, kopjes,1 partij pieringen en kopjes,cups,2,,1.0,-99,1,0,0,0
MOOC10/2.18/73,MOOC10/2.18,17191106,6 kopjes-en-pieringen,6 kopjes-en-pieringen,cups,2,6,1.0,0.17,0,0,0,0
MOOC10/2.30/257,MOOC10/2.30,17211013,12 copjes-en-12-pierintjes,12 copjes-en-12-pierintjes,cups,2,12,1.0,0.08,0,0,0,0
MOOC10/2.36/34,MOOC10/2.36,17210818,10 porcelijne teekopjes-en-10-porcelijne-pierintjes,10 porcelijne teekopjes-en-10-porcelijne-pierintjes,cups,2,10,1.0,0.1,0,0,0,0
MOOC10/2.36/35,MOOC10/2.36,17210818,14 porcelijne copjes-en-14-porcelijne-pierintjes,14 porcelijne copjes-en-14-porcelijne-pierintjes,cups,2,14,1.0,0.07,0,0,0,0
MOOC10/2.36/163,MOOC10/2.36,17210818,18 tee kopjes-en-19-pierintjes,18 tee kopjes-en-19-pierintjes,cups,2,18,1.0,0.06,0,0,0,0
MOOC10/2.36/165,MOOC10/2.36,17210818,12 copjes 13 pierintjes,12 copjes 13 pierintjes en een trekpot,cups,2,12,1.0,0.08,1,0,0,0
MOOC10/20.1/101,MOOC10/20.1,18030531,5 kopjes-en-5-pieringjes,5 kopjes-en-5-pieringjes,cups,20,5,1.0,0.2,0,0,0,0
MOOC10/21.37/31,MOOC10/21.37,18041106/18041108,2 koppies-en-pieringen,2 koppies-en-pieringen,cups,21,2,1.0,0.5,0,0,0,0
MOOC10/26.39/276,MOOC10/26.39,18121208/18121209,6 kopjes-en-4-pierings,6 kopjes-en-4-pierings,cups,26,6,1.0,0.17,0,0,0,0
MOOC10/26.47/31,MOOC10/26.47,18121114,4 kopjes-en-4-pierings,"4 kopjes-en-4-pierings, defect",cups,26,4,1.0,0.25,1,0,0,0
MOOC10/6.52/209,MOOC10/6.52,"17540522, 17540524/17540525",10 porcelijne thee copjes-en-9-pieringtjes,10 porcelijne thee copjes-en-9-pieringtjes,cups,6,10,1.0,0.1,0,0,0,0
MOOC10/9.16/45,MOOC10/9.16,17670110,12 p:r copjes-en-pieringjes,12 p:r copjes-en-pieringjes,cups,9,12,1.0,0.08,0,0,0,0
MOOC10/9.41/104,MOOC10/9.41,17681121,6 porcelaine kopjes-en-pierings,6 porcelaine kopjes-en-pierings,cups,9,6,1.0,0.17,0,0,0,0
MOOC10/3.66/19,MOOC10/3.66,17240602,20 kopjes-en-20-pieringjes,20 kopjes-en-20-pieringjes met 1 trek potje,cups,3,20,2.0,0.1,1,0,0,0
MOOC10/3.68/196,MOOC10/3.68,17261115,1 silvere kopje weegen 4 loot,1 silvere kopje weegen 4 loot,cups,3,1,2.0,2.0,0,0,0,0
MOOC10/5.5/94,MOOC10/5.5,17380217,30 porcelijne kopjes-en-30-porcelijne-pierings,30 porcelijne kopjes-en-30-porcelijne-pierings,cups,5,30,2.0,0.07,0,0,0,0
MOOC10/5.63/97,MOOC10/5.63,17410420,1 parthij kopjes-en-pierentjes,1 porcelijn kom met 1 parthij kopjes-en-pierentjes,cups,5,1,2.0,2.0,1,1,0,0
MOOC10/10.22/1721,MOOC10/10.22,17690123/17690130,20 porc:e copjes-en-10-porc:e-pierings,20 porc:e copjes-en-10-porc:e-pierings,cups,10,20,2.0,0.1,0,0,0,0
MOOC10/10.22/1722,MOOC10/10.22,17690123/17690130,20 porc:e copjes-en-10-porc:e-pierings,20 porc:e copjes-en-10-porc:e-pierings,cups,10,20,2.0,0.1,0,0,0,0
MOOC10/11.5/129,MOOC10/11.5,17730329/17730330 17730401/17730402,1 partij porc: copjes-en-pierings,1 casje met 1 partij porc: copjes-en-pierings,cups,11,1,2.0,2.0,1,1,0,0
MOOC10/11.5/131,MOOC10/11.5,17730329/17730330 17730401/17730402,10 p:r porc: copjes-en-pierings,10 p:r porc: copjes-en-pierings,cups,11,10,2.0,0.2,0,0,0,0
MOOC10/16.29/499,MOOC10/16.29,17910606/17910607,12 copjes-en-12-pierings,12 copjes-en-12-pierings,cups,16,12,2.0,0.17,0,0,0,0
MOOC10/16.29/500,MOOC10/16.29,17910606/17910607,12 copjes-en-12-pierings,12 copjes-en-12-pierings,cups,16,12,2.0,0.17,0,0,0,0
MOOC10/17.22/107,MOOC10/17.22,17950216,12 kopjes-en-pierings,12 kopjes-en-pierings,cups,17,12,2.0,0.17,0,0,0,0
MOOC10/19.19/88,MOOC10/19.19,18010212,3 kopjes-en-5-pieringjes,3 kopjes-en-5-pieringjes,cups,19,3,2.0,0.67,0,0,0,0
MOOC10/20.6_1/2/1185,MOOC10/20.6_1/2,18030620/18030621,9 kopjes-en-10-pieringjes,9 kopjes-en-10-pieringjes,cups,20,9,2.0,0.22,0,0,0,0
