purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/13.50/65,MOOC10/13.50,17821003/17821004,1 zijdgeweer,1 zijdgeweer,guns,13,1,1.0,1.0,0,0,0,0
MOOC10/14.16/173,MOOC10/14.16,17830115/17830116,1 geweer,1 geweer,guns,14,1,1.0,1.0,0,0,0,0
MOOC10/15.97/52,MOOC10/15.97,17900420/17900421,1 geweer,1 geweer,guns,15,1,1.0,1.0,0,0,0,0
MOOC10/15.113/621,MOOC10/15.113,17891116/17891118,3 zijdgeweeren in soort,3 zijdgeweeren in soort,guns,15,3,1.0,0.33,0,0,0,0
MOOC10/16.21/93,MOOC10/16.21,17901115,2 schietgeweeren,2 schietgeweeren,guns,16,2,1.0,0.5,0,0,0,0
MOOC10/16.48/133,MOOC10/16.48,17920613/17920614,1 schiet geweer,1 schiet geweer en sijn form,guns,16,1,1.0,1.0,1,0,0,0
MOOC10/9.57/178,MOOC10/9.57,17660818,1 zijdgeweer,1 zijdgeweer,guns,9,1,1.0,1.0,0,0,0,0
MOOC10/13.25/17,MOOC10/13.25,17811116,1 geweer,1 geweer,guns,13,1,2.0,2.0,0,0,0,0
MOOC10/15.97/53,MOOC10/15.97,17900420/17900421,1 geweer,1 geweer,guns,15,1,2.0,2.0,0,0,0,0
MOOC10/16.31/786,MOOC10/16.31,17900920/17900923,1 schietgeweeren,1 schietgeweeren,guns,16,1,2.0,2.0,0,0,0,0
MOOC10/2.18/60,MOOC10/2.18,17191106,1 getrocke geweer,1 getrocke geweer,guns,2,1,2.0,2.0,0,0,0,0
MOOC10/21.46/31,MOOC10/21.46,18060519,1 jagt geweer,1 jagt geweer,guns,21,1,2.0,2.0,0,0,0,0
MOOC10/8.58/208,MOOC10/8.58,17640731,1 swart sijdgeweer,1 swart sijdgeweer met sijn portepees,guns,8,1,2.0,2.0,1,0,0,0
MOOC10/10.77/93,MOOC10/10.77,17730302,1 zijdgeweer,1 zadel en 1 zijdgeweer,guns,10,1,3.0,3.0,1,0,0,0
MOOC10/15.73/4,MOOC10/15.73,17881103/17881104,1 geweer,1 geweer,guns,15,1,3.0,3.0,0,0,0,0
MOOC10/16.8/98,MOOC10/16.8,17910218,2 schietgeweere,2 schietgeweere,guns,16,2,3.0,1.5,0,0,0,0
MOOC10/20.13/82,MOOC10/20.13,18031022,1 schietgeweer,1 schietgeweer,guns,20,1,3.0,3.0,0,0,0,0
MOOC10/21.45/199,MOOC10/21.45,18050301/18050302,1 geweer,1 geweer met koogelvorm,guns,21,1,3.0,3.0,1,0,0,0
MOOC10/23.43/133,MOOC10/23.43,18080819,1 defecte geweer,1 defecte geweer,guns,23,1,3.0,3.0,0,0,1,0
MOOC10/5.49/17,MOOC10/5.49,17440325,1 oud geweer,1 kist met 1 oud geweer,guns,5,1,4.0,4.0,1,0,1,0
MOOC10/15.80_1/2/391,MOOC10/15.80_1/2,17890223,2 geweeren,2 geweeren,guns,15,2,4.0,2.0,0,0,0,0
MOOC10/15.97/47,MOOC10/15.97,17900420/17900421,1 geweer,1 geweer,guns,15,1,4.0,4.0,0,0,0,0
MOOC10/15.97/50,MOOC10/15.97,17900420/17900421,1 geweer,1 geweer,guns,15,1,4.0,4.0,0,0,0,0
MOOC10/18.69/181,MOOC10/18.69,18000113,1 schietgeweer,1 schietgeweer,guns,18,1,4.0,4.0,0,0,0,0
MOOC10/18.78/423,MOOC10/18.78,"18000626/18000628, 18000703/18000704",1 geweer,1 geweer,guns,18,1,4.0,4.0,0,0,0,0
MOOC10/19.9/122,MOOC10/19.9,17980515/17980516,1 schietgeweer,1 schietgeweer,guns,19,1,4.0,4.0,0,0,0,0
MOOC10/19.24/16,MOOC10/19.24,18011027,1 geweer,1 geweer,guns,19,1,4.0,4.0,0,0,0,0
MOOC10/19.30/182,MOOC10/19.30,18020308/18020309,1 schietgeweer,"1 schietgeweer, defect",guns,19,1,4.0,4.0,1,0,0,0
MOOC10/19.36/62,MOOC10/19.36,18000508/18000509,1 schiet geweer,1 schiet geweer,guns,19,1,4.0,4.0,0,0,0,0
MOOC10/19.42/257,MOOC10/19.42,18010910/18010912,1 geweer,"1 geweer, defect",guns,19,1,4.0,4.0,1,0,0,0
MOOC10/20.9/3,MOOC10/20.9,18000428,1 geweer,1 geweer en 2 boeken,guns,20,1,4.0,4.0,1,0,0,0
MOOC10/6.50/788,MOOC10/6.50,17520523/17520527,1 geweer,"1 geweer, 1 dissel, 1 snijmes, 1 avegaar en 1 botervat",guns,6,1,4.0,4.0,1,0,0,0
MOOC10/5.11/39,MOOC10/5.11,17380203,1 geweer,1 geweer,guns,5,1,5.0,5.0,0,0,0,0
MOOC10/5.20/69,MOOC10/5.20,17380324,1 geweer,1 geweer,guns,5,1,5.0,5.0,0,0,0,0
MOOC10/13.46/6,MOOC10/13.46,17820212/17820213,1 geweer,1 geweer,guns,13,1,5.0,5.0,0,0,0,0
MOOC10/14.60/46,MOOC10/14.60,178[...],1 geweer,1 geweer,guns,14,1,5.0,5.0,0,0,0,0
MOOC10/15.55/2,MOOC10/15.55,17880215,1 geweer,1 geweer,guns,15,1,5.0,5.0,0,0,0,0
MOOC10/16.41/10,MOOC10/16.41,17921001,1 geweer,een geweer,guns,16,1,5.0,5.0,0,0,0,0
MOOC10/17.49/17,MOOC10/17.49,17960829,1 saijtgeweer,1 saijtgeweer,guns,17,1,5.0,5.0,0,0,0,0
MOOC10/19.11_1/2/39,MOOC10/19.11_1/2,17970209,1 geweer,1 geweer,guns,19,1,5.0,5.0,0,0,0,0
MOOC10/19.25/51,MOOC10/19.25,18000515,1 schiet geweer,1 schiet geweer,guns,19,1,5.0,5.0,0,0,0,0
MOOC10/19.36/63,MOOC10/19.36,18000508/18000509,1 schiet geweer,1 schiet geweer,guns,19,1,5.0,5.0,0,0,0,0
MOOC10/24.1/94,MOOC10/24.1,18011103/18011104,1 geweer,1 geweer,guns,24,1,5.0,5.0,0,0,0,0
MOOC10/24.27/13,MOOC10/24.27,18090325,1 defecte schietgeweer,1 defecte schietgeweer,guns,24,1,5.0,5.0,0,0,1,0
MOOC10/26.27/26,MOOC10/26.27,18120820,1 geweer,"1 geweer, defect",guns,26,1,5.0,5.0,1,0,0,0
MOOC10/10.76/51,MOOC10/10.76,17721012,1 geweer,"1 kist, 1 geweer, 1 coevoet, 1 botercarn, 1 avegaar, 1 dissel, 1 ploeg, 1 eg, 2 oude racken en 1 tafel",guns,10,1,6.0,6.0,1,0,0,0
MOOC10/16.48/127,MOOC10/16.48,17920613/17920614,1 schiet geweer,1 schiet geweer en sijn form,guns,16,1,6.0,6.0,1,0,0,0
MOOC10/16.48/128,MOOC10/16.48,17920613/17920614,1 schiet geweer,1 schiet geweer en sijn form,guns,16,1,6.0,6.0,1,0,0,0
MOOC10/16.51/112,MOOC10/16.51,17910915,1 geweer,1 geweer,guns,16,1,6.0,6.0,0,0,0,0
MOOC10/16.52/336,MOOC10/16.52,17911010/17911011,1 schietgeweer,1 schietgeweer,guns,16,1,6.0,6.0,0,0,0,0
MOOC10/16.65/107,MOOC10/16.65,17920319,1 geweer,1 geweer,guns,16,1,6.0,6.0,0,0,0,0
MOOC10/17.68/5,MOOC10/17.68,17970708,1 jagtgeweer,1 jagtgeweer,guns,17,1,6.0,6.0,0,0,0,0
MOOC10/18.21/25,MOOC10/18.21,17940116,1 schietgeweer,1 schietgeweer,guns,18,1,6.0,6.0,0,0,0,0
MOOC10/18.54/239,MOOC10/18.54,17981025,1 geweer,1 geweer,guns,18,1,6.0,6.0,0,0,0,0
MOOC10/18.56/105,MOOC10/18.56,17981129,1 geweer,1 geweer,guns,18,1,6.0,6.0,0,0,0,0
MOOC10/18.74/250,MOOC10/18.74,18000505,1 schietgeweer,1 schietgeweer,guns,18,1,6.0,6.0,0,0,0,0
MOOC10/19.7/111,MOOC10/19.7,18000107,1 geweer,1 geweer,guns,19,1,6.0,6.0,0,0,0,0
MOOC10/21.25/10,MOOC10/21.25,18050520,1 jagt geweer,1 jagt geweer,guns,21,1,6.0,6.0,0,0,0,0
MOOC10/21.52/2,MOOC10/21.52,18060418,1 geweer,"1 geweer, 1 sabel, 1 patroontas en 1 karrebijnschoen",guns,21,1,6.0,6.0,1,0,0,0
MOOC10/22.11/38,MOOC10/22.11,18051209,1 geweer,"1 geweer, 1 koogelvorm",guns,22,1,6.0,6.0,1,0,0,0
MOOC10/22.17/72,MOOC10/22.17,18051219/18051220,1 geweer,1 geweer,guns,22,1,6.0,6.0,0,0,0,0
MOOC10/22.50/74,MOOC10/22.50,18071121,2 oude geweeren,2 oude geweeren en 1 bux,guns,22,2,6.0,3.0,1,0,1,0
MOOC10/22.84/48,MOOC10/22.84,18070603,1 geweer,1 geweer,guns,22,1,6.0,6.0,0,0,0,0
MOOC10/22.86/71,MOOC10/22.86,18070209,1 geweer,1 geweer,guns,22,1,6.0,6.0,0,0,0,0
MOOC10/23.28/1,MOOC10/23.28,18070408,1 geweer,1 geweer,guns,23,1,6.0,6.0,0,0,0,0
MOOC10/23.46/120,MOOC10/23.46,18081110,1 geweer,1 geweer,guns,23,1,6.0,6.0,0,0,0,0
MOOC10/24.31/140,MOOC10/24.31,18100820/18100821,1 geweer,1 geweer,guns,24,1,6.0,6.0,0,0,0,0
MOOC10/5.7/18,MOOC10/5.7,17380923,1 olifantsgeweer,1 olifantsgeweer,guns,5,1,7.0,7.0,0,0,0,0
MOOC10/11.7/82,MOOC10/11.7,17741004,3 zijdgeweers,"3 zijdgeweers, 1 harsvanger en 1 p:r pistolen",guns,11,3,7.0,2.33,1,0,0,0
MOOC10/15.105/116,MOOC10/15.105,No date,1 geweer,een geweer,guns,15,1,7.0,7.0,0,0,0,0
MOOC10/16.48/130,MOOC10/16.48,17920613/17920614,1 schiet geweer,1 schiet geweer en sijn form,guns,16,1,7.0,7.0,1,0,0,0
MOOC10/17.16_1/2/32,MOOC10/17.16_1/2,17940701,1 schietgeweer,1 schietgeweer,guns,17,1,7.0,7.0,0,0,0,0
MOOC10/18.16/77,MOOC10/18.16,17960822,1 geweer,1 geweer,guns,18,1,7.0,7.0,0,0,0,0
MOOC10/18.56/103,MOOC10/18.56,17981129,1 geweer,1 geweer,guns,18,1,7.0,7.0,0,0,0,0
MOOC10/19.11_1/2/38,MOOC10/19.11_1/2,17970209,1 geweer,1 geweer en kogelform,guns,19,1,7.0,7.0,1,0,0,0
MOOC10/23.52/42,MOOC10/23.52,18090228,1 zijdgeweer,1 zijdgeweer en 1 p:r epauletten,guns,23,1,7.0,7.0,1,0,0,0
MOOC10/24.27/11,MOOC10/24.27,18090325,1 defecte schietgeweer,1 defecte schietgeweer,guns,24,1,7.0,7.0,0,0,1,0
MOOC10/26.13/156,MOOC10/26.13,18100928,1 geweer,1 geweer,guns,26,1,7.0,7.0,0,0,0,0
MOOC10/12.1/203,MOOC10/12.1,17760528/17760530,1 zijdgeweer,"1 snaphaan, 1 p:r pistolen, 1 patroontasch, 1 zijdgeweer en 1 houwer met haar port d’ epees",guns,12,1,8.0,8.0,1,0,0,0
MOOC10/15.6/278,MOOC10/15.6,17851107/17851108,1 geweer,1 geweer,guns,15,1,8.0,8.0,0,0,0,0
