purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/5.74/333,MOOC10/5.74,17470111,1 belhaamer,1 snymes en 1 belhaamer,hammers,5,1,1.0,1.0,1,0,0,0
MOOC10/13.5/48,MOOC10/13.5,17791227/17791228,3 hamers,3 hamers,hammers,13,3,1.0,0.33,0,0,0,0
MOOC10/13.26/25,MOOC10/13.26,17811119,1 hamer,1 dissel met 1 hamer,hammers,13,1,1.0,1.0,1,0,0,0
MOOC10/13.60/49,MOOC10/13.60,17821022,1 haamer,1 haamer,hammers,13,1,1.0,1.0,0,0,0,0
MOOC10/14.7/112,MOOC10/14.7,17830526/17830527/17830529,1 parthij hamers,1 parthij hamers,hammers,14,1,1.0,1.0,0,1,0,0
MOOC10/15.18/14,MOOC10/15.18,17860627,1 hamer,"1 handschroef, 1 hamer en 1 tang",hammers,15,1,1.0,1.0,1,0,0,0
MOOC10/15.63/34,MOOC10/15.63,17880708,2 belhamers,2 belhamers,hammers,15,2,1.0,0.5,0,0,0,0
MOOC10/16.32/71,MOOC10/16.32,17900930,1 voorhamer,1 voorhamer en passer,hammers,16,1,1.0,1.0,1,0,0,0
MOOC10/18.27/105,MOOC10/18.27,"17980927/179820929, 17981001, 17981008",1 hamer,"1 hamer, 1 duimstok en 1 kleederborstel",hammers,18,1,1.0,1.0,1,0,0,0
MOOC10/19.42/30,MOOC10/19.42,18010910/18010912,2 smitshamers,2 smitshamers,hammers,19,2,1.0,0.5,0,0,0,0
MOOC10/19.66/38,MOOC10/19.66,18020127/18020128,2 handhaamers,2 handhaamers,hammers,19,2,1.0,0.5,0,0,0,0
MOOC10/20.1/36,MOOC10/20.1,18030531,2 hamers,2 hamers,hammers,20,2,1.0,0.5,0,0,0,0
MOOC10/20.51/34,MOOC10/20.51,18041203/18041204,3 hamers,3 hamers en 1 oude coffer,hammers,20,3,1.0,0.33,1,0,0,0
MOOC10/20.79/45,MOOC10/20.79,18050208,1 hamer 1 rijx:der,1 hamer 1 rijx:der,hammers,20,1,1.0,1.0,0,0,0,0
MOOC10/21.42/29,MOOC10/21.42,[...]0429,1 haamer,1 haamer,hammers,21,1,1.0,1.0,0,0,0,0
MOOC10/21.44/11,MOOC10/21.44,18050827,1 hamer,1 vuilnisblik en 1 hamer,hammers,21,1,1.0,1.0,1,0,0,0
