purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/3.46/10,MOOC10/3.46,17231025,1 boterkarn,1 groote traanpot en 1 boterkarn,horse_cart,3,1,1.0,1.0,1,0,0,0
MOOC10/3.50/25,MOOC10/3.50,17240612,1 carrie steen,1 carrie steen,horse_cart,3,1,1.0,1.0,0,0,0,0
MOOC10/3.65/168,MOOC10/3.65,17240606,1 karn,1 karn met 1 botervat,horse_cart,3,1,1.0,1.0,1,0,0,0
MOOC10/5.5/18,MOOC10/5.5,17380217,1 glase carabas,1 glase carabas,horse_cart,5,1,1.0,1.0,0,0,0,0
MOOC10/5.5/112,MOOC10/5.5,17380217,1 carabijn,1 carabijn,horse_cart,5,1,1.0,1.0,0,0,0,0
MOOC10/5.52/227,MOOC10/5.52,17450913,1 carette doos,1 carette doos met 1 silver charnier,horse_cart,5,1,1.0,1.0,1,0,0,0
MOOC10/10.6/126,MOOC10/10.6,17700319,1 boter karn,1 boter karn,horse_cart,10,1,1.0,1.0,0,0,0,0
MOOC10/10.34/38,MOOC10/10.34,17710819,1 botercarn,1 botercarn,horse_cart,10,1,1.0,1.0,0,0,0,0
MOOC10/11.29/14,MOOC10/11.29,17741004,1 karn,1 karn,horse_cart,11,1,1.0,1.0,0,0,0,0
MOOC10/11.46/57,MOOC10/11.46,17761023,4 glase caraffen,4 glase caraffen,horse_cart,11,4,1.0,0.25,0,0,0,0
MOOC10/12.25/94,MOOC10/12.25,[...]0201/[...]0202,1 karn,1 karn,horse_cart,12,1,1.0,1.0,0,0,0,0
MOOC10/12.35/13,MOOC10/12.35,17790322,1 oude carijn,1 capstok en 1 oude carijn,horse_cart,12,1,1.0,1.0,1,0,1,0
MOOC10/14.18/120,MOOC10/14.18,17830924/17830925,2 glaze liquercaraffen,2 glaze liquercaraffen,horse_cart,14,2,1.0,0.5,0,0,0,0
MOOC10/14.18/121,MOOC10/14.18,17830924/17830925,2 glaze liquercaraffen,2 glaze liquercaraffen,horse_cart,14,2,1.0,0.5,0,0,0,0
MOOC10/14.23/106,MOOC10/14.23,17831128,4 cardoesen tabak,4 cardoesen tabak,horse_cart,14,4,1.0,0.25,0,0,0,0
MOOC10/14.23/107,MOOC10/14.23,17831128,4 cardoesen tabak,4 cardoesen tabak,horse_cart,14,4,1.0,0.25,0,0,0,0
MOOC10/14.23/108,MOOC10/14.23,17831128,4 cardoesen tabak,4 cardoesen tabak,horse_cart,14,4,1.0,0.25,0,0,0,0
MOOC10/15.7/123,MOOC10/15.7,17860113,1 carette lit ringetje,2 sawasse en 1 carette lit ringetje,horse_cart,15,1,1.0,1.0,1,0,0,0
MOOC10/15.40/49,MOOC10/15.40,17870623,7 cardoese tabak,7 cardoese tabak,horse_cart,15,7,1.0,0.14,0,0,0,0
MOOC10/16.26/67,MOOC10/16.26,17910325,2 glase caraffen,2 glase caraffen en 7 wijnkelken in soort,horse_cart,16,2,1.0,0.5,1,0,0,0
MOOC10/16.36/817,MOOC10/16.36,17940219/17940221,13 lb: cardoes tobak,13 lb: cardoes tobak,horse_cart,16,13,1.0,0.08,0,0,0,0
