purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/5.56_1/2/1,MOOC10/5.56_1/2,17441204,1 paard,1 paard,horses,5,1,6.19,6.19,0,0,0,0
MOOC10/5.61/1,MOOC10/5.61,17421112,1 paard,1 paard met zadel en toom,horses,5,1,10.19,10.19,1,0,0,0
MOOC10/5.74/46,MOOC10/5.74,17470111,1 paard,1 paard,horses,5,1,1.0,1.0,0,0,0,0
MOOC10/13.22/74,MOOC10/13.22,17810420,1 ruijnpaard,1 ruijnpaard,horses,13,1,1.0,1.0,0,0,0,0
MOOC10/14.51/352,MOOC10/14.51,17840329,1 rijpaard,1 rijpaard,horses,14,1,1.0,1.0,0,0,0,0
MOOC10/6.33/72,MOOC10/6.33,17480823/17480824|17480902/17480905|17480921,2 paarden,2 paarden,horses,6,2,1.0,0.5,0,0,0,0
MOOC10/9.60/78,MOOC10/9.60,17690501,1 paarde bak,1 paarde bak met wat rommeling,horses,9,1,1.0,1.0,1,0,0,0
MOOC10/6.33/74,MOOC10/6.33,17480823/17480824|17480902/17480905|17480921,2 paarden,2 paarden,horses,6,2,2.0,1.0,0,0,0,0
MOOC10/6.33/75,MOOC10/6.33,17480823/17480824|17480902/17480905|17480921,2 paarden,2 paarden,horses,6,2,2.0,1.0,0,0,0,0
MOOC10/8.14/218,MOOC10/8.14,17580116/17580117,3 paarden,3 paarden,horses,8,3,2.0,0.67,0,0,0,0
MOOC10/8.14/220,MOOC10/8.14,17580116/17580117,2 paarden,2 paarden,horses,8,2,2.0,1.0,0,0,0,0
MOOC10/5.54/64,MOOC10/5.54,17450611,1 paard,1 paard,horses,5,1,3.0,3.0,0,0,0,0
MOOC10/5.65/66,MOOC10/5.65,17451109,2 paard,2 paard,horses,5,2,3.0,1.5,0,0,0,0
MOOC10/5.73/101,MOOC10/5.73,17460523,2 paarden,2 paarden,horses,5,2,3.0,1.5,0,0,0,0
MOOC10/5.74/45,MOOC10/5.74,17470111,1 paard,1 paard,horses,5,1,3.0,3.0,0,0,0,0
MOOC10/5.75/128,MOOC10/5.75,17470220,2 paarden,2 paarden,horses,5,2,3.0,1.5,0,0,0,0
MOOC10/16.45/53,MOOC10/16.45,17930110,1 wagen paard,1 wagen paard en 1 merrij,horses,16,1,3.0,3.0,1,0,0,0
MOOC10/17.11/47,MOOC10/17.11,17940926,1 rijd paard,1 rijd paard,horses,17,1,3.0,3.0,0,0,0,0
