purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/12.36/251,MOOC10/12.36,17790506,1 ijzere streijkijser,1 ijzere streijkijser,irons,12,1,1.0,1.0,0,0,0,0
MOOC10/15.48/230,MOOC10/15.48,17860315/17860316,1 streijk eijser,1 streijk eijser en 1 potje,irons,15,1,4.0,4.0,1,0,0,0
MOOC10/18.9/44,MOOC10/18.9,17960118,1 streijkeijster,1 trommel en een streijkeijster,irons,18,1,0.08,0.08,1,0,0,0
MOOC10/15.48/233,MOOC10/15.48,17860315/17860316,2 streijk eijsers,2 streijk eijsers,irons,15,2,4.12,2.06,0,0,0,0
MOOC10/18.72/20,MOOC10/18.72,17970525,1 streijk eijster,1 streijk eijster,irons,18,1,6.12,6.12,0,0,0,0
MOOC10/13.25/52,MOOC10/13.25,17811116,1 streijkzijzer,1 streijkzijzer,irons,13,1,0.15,0.15,0,0,0,0
MOOC10/9.27/183,MOOC10/9.27,17071005,1 streijk ijser,1 streijk ijser,irons,9,1,0.15,0.15,0,0,0,0
MOOC10/10.[not_numbered]/43,MOOC10/10.[not_numbered],0,1 streijkeijser,1 streijkeijser,irons,10,1,0.19,0.19,0,0,0,0
MOOC10/10.[not_numbered]/43,MOOC10/10.[not_numbered],17701215,1 streijkeijser,1 streijkeijser,irons,10,1,0.19,0.19,0,0,0,0
MOOC10/10.[not_numbered]/43,MOOC10/10.[not_numbered],17710508,1 streijkeijser,1 streijkeijser,irons,10,1,0.19,0.19,0,0,0,0
MOOC10/13.3/7,MOOC10/13.3,17790430,1 streijkeijster,een streijkeijster,irons,13,1,0.19,0.19,0,0,0,0
MOOC10/17.9/49,MOOC10/17.9,17941103,1 streijkijser,1 streijkijser,irons,17,1,0.19,0.19,0,0,0,0
MOOC10/11.2/201,MOOC10/11.2,17730326,1 streijk ijseer,1 streijk ijseer,irons,11,1,0.23,0.23,0,0,0,0
