purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/19.54/112,MOOC10/19.54,18030328,1 p:r oorringen,1 collier en 1 p:r oorringen,jewlery,19,1,4.0,4.0,1,0,0,0
MOOC10/18.28/641,MOOC10/18.28,YYYY,3 paar vergulde oorringen n: 24,3 paar vergulde oorringen n: 24,jewlery,18,3,5.0,1.67,0,0,0,0
MOOC10/18.28/643,MOOC10/18.28,YYYY,3 paar vergulde oorringen n: 26,3 paar vergulde oorringen n: 26,jewlery,18,3,8.0,2.67,0,0,0,0
MOOC10/20.45/11,MOOC10/20.45,18050112,1 oir ring,1 zilver zak horologie en 1 oir ring,jewlery,20,1,9.0,9.0,1,0,0,0
MOOC10/20.20/84,MOOC10/20.20,18040526,1 goude oorring,1 goude oorring,jewlery,20,1,3.04,3.04,0,0,1,0
MOOC10/11.28/109,MOOC10/11.28,17750328/17750329,1 p:r goude oorringen w:t ⅛,1 p:r goude oorringen w:t ⅛ en ¼ engels,jewlery,11,1,1.08,1.08,1,0,1,0
MOOC10/20.68/160,MOOC10/20.68,18050518,1 p:r goude oir ringen,1 p:r goude oir ringen,jewlery,20,1,4.08,4.08,0,0,1,0
MOOC10/4.154/4,MOOC10/4.154,17370902,10 oorringetjes,12 goude knopen en 10 oorringetjes,jewlery,4,10,26.08,2.61,1,0,0,0
MOOC10/6.59/48,MOOC10/6.59,17541216,2 p:r oorringe,2 collijjes en 2 p:r oorringe,jewlery,6,2,0.12,0.06,1,0,0,0
MOOC10/6.59/49,MOOC10/6.59,17541216,2 p:r oorringe,2 collijjes en 2 p:r oorringe,jewlery,6,2,0.12,0.06,1,0,0,0
MOOC10/6.24/352,MOOC10/6.24,17540114/17540116,1 oorringetje,1 goude sintuur gespe en 1 oorringetje met een diamantje,jewlery,6,1,6.12,6.12,1,0,0,0
MOOC10/18.28/642,MOOC10/18.28,YYYY,3 paar vergulde oorringen n: 25,3 paar vergulde oorringen n: 25,jewlery,18,3,8.12,2.71,0,0,0,0
MOOC10/19.11/317,MOOC10/19.11,18000505/18000506,1 pakje oirringen,1 pakje hair spelden en 1 pakje oirringen,jewlery,19,1,2.15,2.15,1,0,0,0
MOOC10/7.42/377,MOOC10/7.42,17551203/17551204,1 p:r goude oorringetjes,1 p:r goude oorringetjes,jewlery,7,1,1.19,1.19,0,0,1,0
MOOC10/8.43/433,MOOC10/8.43,17611026/17611028,2 p:r goude oorringen,2 p:r goude oorringen,jewlery,8,2,2.19,1.09,0,0,1,0
MOOC10/14.48/71,MOOC10/14.48,17840406,1 oorring,"1 paar goude handgespen, 1 oorring en enige pairlen",jewlery,14,1,5.19,5.19,1,0,0,0
MOOC10/18.28/640,MOOC10/18.28,YYYY,3 paar vergulde oorringen n: 23,3 paar vergulde oorringen n: 23,jewlery,18,3,4.27,1.42,0,0,0,0
