purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/3.48/4,MOOC10/3.48,17241201,1 lamp,"2 water emmers, 1 melkvaatje en 1 lamp",lamps,3,1,1.0,1.0,1,0,0,0
MOOC10/4.118/31,MOOC10/4.118,17330328,2 schoorsteen lampen,2 schoorsteen lampen en 1 partij aardewerk,lamps,4,2,1.0,0.5,1,0,0,0
MOOC10/5.25/117,MOOC10/5.25,17391104,1 coopere lamp,2 coopere blakers en 1 coopere lamp,lamps,5,1,1.0,1.0,1,0,0,0
MOOC10/5.46/69,MOOC10/5.46,17440720,2 copere lampen,2 copere lampen,lamps,5,2,1.0,0.5,0,0,0,0
MOOC10/10.83/289,MOOC10/10.83,17730222,1 copere hanglamp,1 copere hanglamp,lamps,10,1,1.0,1.0,0,0,0,0
MOOC10/13.53/83,MOOC10/13.53,17821003/17821004,1 cop: lamp,1 blicke lantarentje en 1 cop: lamp,lamps,13,1,1.0,1.0,1,0,0,0
MOOC10/19.5/33,MOOC10/19.5,18000719,2 geamaljeerde lampies,2 geamaljeerde lampies,lamps,19,2,1.0,0.5,0,0,0,0
MOOC10/20.5/14,MOOC10/20.5,18030526,1 oude lamp,1 parthij hoepels en 1 oude lamp,lamps,20,1,1.0,1.0,1,0,1,0
MOOC10/20.87/62,MOOC10/20.87,18040607/18040608,1 glase lamp,1 glase lamp en 1 zoutvaatje,lamps,20,1,1.0,1.0,1,0,0,0
MOOC10/21.36/218,MOOC10/21.36,18060414,1 lamp,"1 scheerbekken, 1 tregter en 1 lamp",lamps,21,1,1.0,1.0,1,0,0,0
MOOC10/21.37/184,MOOC10/21.37,18041106/18041108,1 lampje,1 lampje en wat ouwels,lamps,21,1,1.0,1.0,1,0,0,0
MOOC10/21.38/42,MOOC10/21.38,18060505,1 nagtlamp,1 nagtlamp,lamps,21,1,1.0,1.0,0,0,0,0
MOOC10/24.2/116,MOOC10/24.2,18090112/18090113,1 nagtlamp,1 nagtlamp,lamps,24,1,1.0,1.0,0,0,0,0
MOOC10/24.35/40,MOOC10/24.35,18100723/18100724,1 lamp,1 lamp en 1 partij combuijs goed,lamps,24,1,1.0,1.0,1,0,0,0
MOOC10/6.10/181,MOOC10/6.10,17490819/17490820,1 coper lamp,1 coper lamp met zijn toebehoren,lamps,6,1,1.0,1.0,1,0,0,0
MOOC10/7.15/163,MOOC10/7.15,17551020, sijn lamp,1 coop:r chin:s thee keetel en sijn lamp,lamps,7,,1.0,-99,1,0,0,0
MOOC10/7.15/166,MOOC10/7.15,17551020,1 coop:r hang lamp,1 coop:r hang lamp,lamps,7,1,1.0,1.0,0,0,0,0
MOOC10/7.22/192,MOOC10/7.22,17560428/17560430,10 glase lampe,10 glase lampe,lamps,7,10,1.0,0.1,0,0,0,0
MOOC10/9.62/52,MOOC10/9.62,17681123,1 cop:e hanglamp,1 cop:e hanglamp,lamps,9,1,1.0,1.0,0,0,0,0
MOOC10/3.93/34,MOOC10/3.93,17320412,1 kopere lamp,1 kopere lamp en 1 kopere beker,lamps,3,1,2.0,2.0,1,0,0,0
MOOC10/10.2/161,MOOC10/10.2,17680411/17680414,16 glase lampen,1 casje met 16 glase lampen,lamps,10,16,2.0,0.12,1,0,0,0
MOOC10/10.41/71,MOOC10/10.41,17701229,1 copere lamp,1 copere lamp,lamps,10,1,2.0,2.0,0,0,0,0
MOOC10/11.5/1025,MOOC10/11.5,17730329/17730330 17730401/17730402,1 cop: lamp,1 cop: lamp,lamps,11,1,2.0,2.0,0,0,0,0
MOOC10/16.38/184,MOOC10/16.38,17930530,1 copere lamp,4 vuurtesjes in zoort en 1 copere lamp,lamps,16,1,2.0,2.0,1,0,0,0
