purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/3.46/271,MOOC10/3.46,17231025,4 stooven,4 stooven,oven,3,4,1.0,0.25,0,0,0,0
MOOC10/3.93/11,MOOC10/3.93,17320412,3 stoven,3 stoven,oven,3,3,1.0,0.33,0,0,0,0
MOOC10/10.43/100,MOOC10/10.43,17710415,5 stooven,5 stooven,oven,10,5,1.0,0.2,0,0,0,0
MOOC10/10.62/170,MOOC10/10.62,17721214,3 vuurstooven,3 vuurstooven,oven,10,3,1.0,0.33,0,0,0,0
MOOC10/11.62/222,MOOC10/11.62,17770220/17770221,1 steen oven,1 steen oven,oven,11,1,1.0,1.0,0,0,0,0
MOOC10/13.28/260,MOOC10/13.28,17810716/17810717,4 houten vuurstoven,4 houten vuurstoven,oven,13,4,1.0,0.25,0,0,0,0
MOOC10/13.37/17,MOOC10/13.37,17811228,2 stoven,"1 mand met bottels, 2 stoven, 2 holle backen, 2 houte lepels en 1 hackebord",oven,13,2,1.0,0.5,1,0,0,0
MOOC10/13.52/35,MOOC10/13.52,17821211,4 houte vuurstoven,2 rakken en 4 houte vuurstoven,oven,13,4,1.0,0.25,1,0,0,0
MOOC10/13.64/4,MOOC10/13.64,17821223,4 vuurstoven,4 vuurstoven en 1 vogelkooij,oven,13,4,1.0,0.25,1,0,0,0
MOOC10/15.12/137,MOOC10/15.12,17860505/17860506,3 stooven,3 stooven,oven,15,3,1.0,0.33,0,0,0,0
MOOC10/15.19/10,MOOC10/15.19,17860901,2 stoven,2 stoven en 2 spugbalijs,oven,15,2,1.0,0.5,1,0,0,0
MOOC10/15.40/36,MOOC10/15.40,17870623,2 stooven,2 stooven,oven,15,2,1.0,0.5,0,0,0,0
MOOC10/16.38/12,MOOC10/16.38,17930530, ¼ schooven,¼ schooven en 1 meelseeft,oven,16,,1.0,-99,1,0,0,0
MOOC10/17.29/479,MOOC10/17.29,17950126/17950128,3 stooven,3 stooven,oven,17,3,1.0,0.33,0,0,0,0
MOOC10/2.31/275,MOOC10/2.31,17211008,2 houte stoven,"2 houte stoven, een bank en een lantaarn",oven,2,2,1.0,0.5,1,0,0,0
MOOC10/21.17/86,MOOC10/21.17,18050808,4 stoven,4 stoven,oven,21,4,1.0,0.25,0,0,0,0
MOOC10/21.64/147,MOOC10/21.64,18060418,2 stooven,1 parthij planken en 2 stooven,oven,21,2,1.0,0.5,1,0,0,0
MOOC10/6.48/100,MOOC10/6.48,17520529/17520530,3 stoven,"3 stoven, 1 kasje en wat romml:",oven,6,3,1.0,0.33,1,0,0,0
MOOC10/6.50/635,MOOC10/6.50,17520523/17520527,3 stooven,3 stooven,oven,6,3,1.0,0.33,0,0,0,0
MOOC10/7.49/116,MOOC10/7.49,17570228,4 stooven,4 stooven,oven,7,4,1.0,0.25,0,0,0,0
MOOC10/8.51/117,MOOC10/8.51,17631210,2 vuurstooven,2 vuurstooven en 1 cop:e tesje,oven,8,2,1.0,0.5,1,0,0,0
MOOC10/8.52/129,MOOC10/8.52,17640330,2 vuurstooven,2 vuurstooven en 2 gordijn roeijen,oven,8,2,1.0,0.5,1,0,0,0
MOOC10/10.80/45,MOOC10/10.80,17730628,4 vuurstooven,4 vuurstooven,oven,10,4,2.0,0.5,0,0,0,0
MOOC10/13.9/377,MOOC10/13.9,17800615/17800616,2 stoven,"1 led: kist, 2 stoven en 1 vuurtesje",oven,13,2,2.0,1.0,1,0,0,0
MOOC10/15.42/183,MOOC10/15.42,17870824/17870825,3 stoven,3 stoven,oven,15,3,2.0,0.67,0,0,0,0
MOOC10/15.86/240,MOOC10/15.86,17890722,2 vuurstoven,2 vuurstoven,oven,15,2,2.0,1.0,0,0,0,0
MOOC10/18.4/35,MOOC10/18.4,17960826/17960827,6 stoven in zoort,6 stoven in zoort,oven,18,6,2.0,0.33,0,0,0,0
MOOC10/20.78/352,MOOC10/20.78,18050702/18050703,2 stoven,2 stoven,oven,20,2,2.0,1.0,0,0,0,0
MOOC10/6.19/580,MOOC10/6.19,17481017/17481019,11 stooven,11 stooven en 4 vuurtesjes,oven,6,11,2.0,0.18,1,0,0,0
MOOC10/7.17/947,MOOC10/7.17,17520327/17520330,6 stooven,6 stooven,oven,7,6,2.0,0.33,0,0,0,0
MOOC10/9.15/601,MOOC10/9.15,17640717/17640720,6 vuurstooven,6 vuurstooven,oven,9,6,2.0,0.33,0,0,0,0
MOOC10/9.44/113,MOOC10/9.44,17680530,4 vuurstoven,4 vuurstoven,oven,9,4,2.0,0.5,0,0,0,0
MOOC10/12.1/259,MOOC10/12.1,17760528/17760530,3 vuurstoven,3 vuurstoven en 1 partij romm:g,oven,12,3,3.0,1.0,1,0,0,0
MOOC10/20.78/353,MOOC10/20.78,18050702/18050703,2 stoven,2 stoven,oven,20,2,3.0,1.5,0,0,0,0
MOOC10/26.31/199,MOOC10/26.31,18111202,3 stooven,3 stooven,oven,26,3,3.0,1.0,0,0,0,0
MOOC10/26.43/12,MOOC10/26.43,18071005,5 stooven,5 stooven en 1 quispedoortje,oven,26,5,3.0,0.6,1,0,0,0
MOOC10/6.32/337,MOOC10/6.32,17520508/17520510,6 stooven,6 stooven,oven,6,6,3.0,0.5,0,0,0,0
MOOC10/14.22/115,MOOC10/14.22,17831110,6 stooven,6 stooven en 1 stoel,oven,14,6,4.0,0.67,1,0,0,0
MOOC10/14.56/11,MOOC10/14.56,17841111,3 vuurstooven,3 vuurstooven,oven,14,3,4.0,1.33,0,0,0,0
MOOC10/20.6_1/2/1141,MOOC10/20.6_1/2,18030620/18030621,5 stoven,5 stoven,oven,20,5,4.0,0.8,0,0,0,0
MOOC10/9.2/325,MOOC10/9.2,17640712/17640713,13 vuur stooven,13 vuur stooven,oven,9,13,4.0,0.31,0,0,0,0
MOOC10/17.13/313,MOOC10/17.13,17940605/17940606,8 vuur stooven,8 vuur stooven,oven,17,8,5.0,0.62,0,0,0,0
MOOC10/20.24/433,MOOC10/20.24,18040628/18040702/18040703,7 stooven,7 stooven,oven,20,7,6.0,0.86,0,0,0,0
MOOC10/17.30/315,MOOC10/17.30,17950326/17950328,8 stoven,8 stoven,oven,17,8,7.0,0.88,0,0,0,0
MOOC10/10.21/41,MOOC10/10.21,17690109/17690110,5 halfaam schooven,5 halfaam schooven met haar hoepels,oven,10,5,8.0,1.6,1,0,0,0
MOOC10/7.42/415,MOOC10/7.42,17551203/17551204,2 stooven,"9 stoelen, 2 stooven en 3 kussens",oven,7,2,8.0,4.0,1,0,0,0
MOOC10/20.41/507,MOOC10/20.41,18041001/18041004,6 stoven,6 stoven,oven,20,6,10.0,1.67,0,0,0,0
MOOC10/6.24/217,MOOC10/6.24,17540114/17540116,1 opgebrooken steenoven,1 opgebrooken steenoven,oven,6,1,45.0,45.0,0,0,1,0
MOOC10/6.52/333,MOOC10/6.52,"17540522, 17540524/17540525",1 aangebroke steenoven,1 aangebroke steenoven,oven,6,1,80.0,80.0,0,0,1,0
MOOC10/15.42/196,MOOC10/15.42,17870824/17870825,1 steen oven,1 steen oven,oven,15,1,100.0,100.0,0,0,0,0
MOOC10/10.47/80,MOOC10/10.47,17711120,3 houte stooven,3 houte stooven,oven,10,3,0.04,0.01,0,0,0,0
MOOC10/13.5/300,MOOC10/13.5,17791227/17791228,2 stoven,2 stoven,oven,13,2,0.04,0.02,0,0,0,0
MOOC10/13.5/301,MOOC10/13.5,17791227/17791228,1 stoven,1 stoven,oven,13,1,0.04,0.04,0,0,0,0
MOOC10/13.18/160,MOOC10/13.18,17810720,2 vuurstoven,2 vuurstoven en 1 bank,oven,13,2,0.04,0.02,1,0,0,0
MOOC10/17.29/475,MOOC10/17.29,17950126/17950128,2 stooven,2 stooven,oven,17,2,0.04,0.02,0,0,0,0
MOOC10/5.43/4,MOOC10/5.43,17440808,3 stooven,1 combuijs tafel en 3 stooven,oven,5,3,1.04,0.35,1,0,0,0
MOOC10/5.74/323,MOOC10/5.74,17470111,2 stooven,1 mand met 2 stooven,oven,5,2,1.04,0.52,1,0,0,0
MOOC10/10.7/259,MOOC10/10.7,17680525,4 vuurstoven,4 vuurstoven,oven,10,4,1.04,0.26,0,0,0,0
