purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/3.37/118,MOOC10/3.37,17260215,12 porcelijne tafelborden,12 porcelijne tafelborden,plates,3,12,1.0,0.08,0,0,0,0
MOOC10/3.39/148,MOOC10/3.39,17220528,6 porcelyne tafelborden,6 porcelyne tafelborden,plates,3,6,1.0,0.17,0,0,0,0
MOOC10/3.39/149,MOOC10/3.39,17220528,6 porcelyne tafelborden,6 porcelyne tafelborden,plates,3,6,1.0,0.17,0,0,0,0
MOOC10/3.39/151,MOOC10/3.39,17220528,6 porcelyne tafelborden,6 porcelyne tafelborden,plates,3,6,1.0,0.17,0,0,0,0
MOOC10/3.39/155,MOOC10/3.39,17220528,6 porcelyne tafelborden,6 porcelyne tafelborden,plates,3,6,1.0,0.17,0,0,0,0
MOOC10/3.50/52,MOOC10/3.50,17240612,8 porcelijne tafelborden,8 porcelijne tafelborden,plates,3,8,1.0,0.12,0,0,0,0
MOOC10/3.62/34,MOOC10/3.62,17250205,9 tinne tafelborden,9 tinne tafelborden,plates,3,9,1.0,0.11,0,0,0,0
MOOC10/4.146/189,MOOC10/4.146,17360928,24 porcelijne tafelborden,24 porcelijne tafelborden,plates,4,24,1.0,0.04,0,0,0,0
MOOC10/4.146/191,MOOC10/4.146,17360928,24 porcelijne tafelborden,24 porcelijne tafelborden,plates,4,24,1.0,0.04,0,0,0,0
MOOC10/5.18/25,MOOC10/5.18,17381018,6 tinne tafelborden,6 tinne tafelborden,plates,5,6,1.0,0.17,0,0,0,0
MOOC10/5.22/165,MOOC10/5.22,17380428,2 tinne tafelborden,"2 oude zadels, 1 ankervatje en 2 tinne tafelborden",plates,5,2,1.0,0.5,1,0,0,0
MOOC10/5.56/122,MOOC10/5.56,17441204,10 porcelijne tafelborden,10 porcelijne tafelborden,plates,5,10,1.0,0.1,0,0,0,0
MOOC10/5.64/45,MOOC10/5.64,17280414,15 tafelborden,15 tafelborden,plates,5,15,1.0,0.07,0,0,0,0
MOOC10/10.2/122,MOOC10/10.2,17680411/17680414,12 porc:e tafelborden,12 porc:e tafelborden,plates,10,12,1.0,0.08,0,0,0,0
MOOC10/10.21/453,MOOC10/10.21,17690109/17690110,12 porc:e tafelborden,12 porc:e tafelborden,plates,10,12,1.0,0.08,0,0,0,0
MOOC10/10.22/2155,MOOC10/10.22,17690123/17690130,6 porc:e tafelborden,6 porc:e tafelborden,plates,10,6,1.0,0.17,0,0,0,0
MOOC10/10.81/405,MOOC10/10.81,17730308/17730311,14 porc:e tafelborden,14 porc:e tafelborden,plates,10,14,1.0,0.07,0,0,0,0
MOOC10/12.38/144,MOOC10/12.38,17790816/17790817,7 porc: tafelborden,7 porc: tafelborden,plates,12,7,1.0,0.14,0,0,0,0
MOOC10/14.64/112,MOOC10/14.64,17850425,6 porcelaine tafelborden,6 porcelaine tafelborden,plates,14,6,1.0,0.17,0,0,0,0
MOOC10/14.65/225,MOOC10/14.65,17850225,12 porc: tafelborden in zoort,12 porc: tafelborden in zoort,plates,14,12,1.0,0.08,0,0,0,0
MOOC10/16.32/117,MOOC10/16.32,17900930,6 tafelborden,6 tafelborden,plates,16,6,1.0,0.17,0,0,0,0
MOOC10/2.10/161,MOOC10/2.10,17190403,6 tinne tafelborden,6 tinne tafelborden,plates,2,6,1.0,0.17,0,0,0,0
MOOC10/2.18/84,MOOC10/2.18,17191106,5 porcelijne tafelborden,5 porcelijne tafelborden,plates,2,5,1.0,0.2,0,0,0,0
MOOC10/2.31/50,MOOC10/2.31,17211008,6 porcelijne tafelborden,6 porcelijne tafelborden,plates,2,6,1.0,0.17,0,0,0,0
MOOC10/2.31/53,MOOC10/2.31,17211008,6 porcelijne tafelborden,6 porcelijne tafelborden,plates,2,6,1.0,0.17,0,0,0,0
MOOC10/6.9/120,MOOC10/6.9,17520114,6 porcelijne tafelborden,6 porcelijne tafelborden,plates,6,6,1.0,0.17,0,0,0,0
MOOC10/7.11/368,MOOC10/7.11,17551118/17551119,12 porc: tafelborden,12 porc: tafelborden,plates,7,12,1.0,0.08,0,0,0,0
MOOC10/7.11/369,MOOC10/7.11,17551118/17551119,12 porc: tafelborden,12 porc: tafelborden,plates,7,12,1.0,0.08,0,0,0,0
MOOC10/7.14/28,MOOC10/7.14,17551110,12 porc: tafelborden,12 porc: tafelborden,plates,7,12,1.0,0.08,0,0,0,0
MOOC10/8.27/79,MOOC10/8.27,17601023,6 porc:e tafelborden,6 porc:e tafelborden,plates,8,6,1.0,0.17,0,0,0,0
MOOC10/8.47/163,MOOC10/8.47,17611029,7 porc:e tafelborden,"7 porc:e tafelborden, 1 porc:e soutcommetje en wat porc:e theegoed",plates,8,7,1.0,0.14,1,0,0,0
MOOC10/9.11/209,MOOC10/9.11,17660127,12 porc:e tafelborden,12 porc:e tafelborden,plates,9,12,1.0,0.08,0,0,0,0
MOOC10/9.13/151,MOOC10/9.13,17641006,11 porc:e tafelborden,11 porc:e tafelborden,plates,9,11,1.0,0.09,0,0,0,0
MOOC10/9.15/212,MOOC10/9.15,17640717/17640720,6 porc:e tafelborden,6 porc:e tafelborden,plates,9,6,1.0,0.17,0,0,0,0
MOOC10/9.16/39,MOOC10/9.16,17670110,6 porc: tafelborden,6 porc: tafelborden,plates,9,6,1.0,0.17,0,0,0,0
MOOC10/9.18_1/2/33,MOOC10/9.18_1/2,17660623,12 porc:e tafelborden,12 porc:e tafelborden,plates,9,12,1.0,0.08,0,0,0,0
MOOC10/9.61/143,MOOC10/9.61,17690227,10 porc:e tafelborden in z:,10 porc:e tafelborden in z:,plates,9,10,1.0,0.1,0,0,0,0
MOOC10/5.5/49,MOOC10/5.5,17380217,10 porcelijne tafelborden,10 porcelijne tafelborden,plates,5,10,2.0,0.2,0,0,0,0
MOOC10/5.20/561,MOOC10/5.20,17380324,12 porcelijne tafelborden,12 porcelijne tafelborden,plates,5,12,2.0,0.17,0,0,0,0
MOOC10/5.40/65,MOOC10/5.40,17440108,12 porcelijne tafelborden,12 porcelijne tafelborden,plates,5,12,2.0,0.17,0,0,0,0
MOOC10/5.63/129,MOOC10/5.63,17410420,4 tafelborden,1 tinne schootel met 4 tafelborden,plates,5,4,2.0,0.5,1,0,0,0
MOOC10/5.73/228,MOOC10/5.73,17460523,12 porcelyne tafelborden,12 porcelyne tafelborden,plates,5,12,2.0,0.17,0,0,0,0
MOOC10/5.75/235,MOOC10/5.75,17470220,6 tinne tafelborden,6 tinne tafelborden,plates,5,6,2.0,0.33,0,0,0,0
MOOC10/10.2/119,MOOC10/10.2,17680411/17680414,21 porc:e tafelborden,21 porc:e tafelborden,plates,10,21,2.0,0.1,0,0,0,0
MOOC10/10.2/120,MOOC10/10.2,17680411/17680414,14 porc:e tafelborden,14 porc:e tafelborden,plates,10,14,2.0,0.14,0,0,0,0
MOOC10/10.2/121,MOOC10/10.2,17680411/17680414,16 porc:e tafelborden,16 porc:e tafelborden,plates,10,16,2.0,0.12,0,0,0,0
MOOC10/10.2/123,MOOC10/10.2,17680411/17680414,12 porc:e tafelborden,12 porc:e tafelborden,plates,10,12,2.0,0.17,0,0,0,0
