purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/5.7/32,MOOC10/5.7,17380923,2 ploegen,"2 ploegen, 1 eg en 1 bijl",plough,5,2,2.0,1.0,1,0,0,0
MOOC10/20.42/5,MOOC10/20.42,18041215,2 ploegen,1 partij schaven en 2 ploegen,plough,20,2,2.0,1.0,1,0,0,0
MOOC10/22.96/30,MOOC10/22.96,18080616, ploegen,2 agterstellen van ploegen,plough,22,,4.0,-99,1,0,0,0
MOOC10/11.17/131,MOOC10/11.17,17741205/17741206,3 ploegen,3 ploegen,plough,11,3,8.0,2.67,0,0,0,0
MOOC10/11.17/129,MOOC10/11.17,17741205/17741206,2 ploegen,2 ploegen met haar voorstellen,plough,11,2,13.0,6.5,1,0,0,0
MOOC10/18.49/73,MOOC10/18.49,17980827/17980828,3 ploegen,"3 ploegen, defect",plough,18,3,13.0,4.33,1,0,0,0
MOOC10/11.17/130,MOOC10/11.17,17741205/17741206,2 ploegen,2 ploegen,plough,11,2,17.0,8.5,0,0,0,0
MOOC10/15.53/4,MOOC10/15.53,17880107,1 ploegen,1 ploegen,plough,15,1,18.0,18.0,0,0,0,0
MOOC10/4.124/34,MOOC10/4.124,17340615,2 ploegen,2 ploegen met haar toebehoren,plough,4,2,20.0,10.0,1,0,0,0
MOOC10/15.53/3,MOOC10/15.53,17880107,1 ploegen,1 ploegen,plough,15,1,20.0,20.0,0,0,0,0
MOOC10/16.8/22,MOOC10/16.8,17910218,2 ploegen,2 ploegen en 2 ploeg scharen,plough,16,2,30.0,15.0,1,0,0,0
MOOC10/16.31/2,MOOC10/16.31,17900920/17900923,2 ploegen,"1 moolen, 2 belhamers, 2 ploegen, 1 oude kadel, 3 oude stoelen, 1 oude tafel, 1 lamsieke os, 1 lamsieke bulletje, 1 koeij met kalf, 8 klijne verkens en 5 mudden tarwe, welk een en ander zig op voorsz: plaatsen komt te bevinden",plough,16,2,30.0,15.0,1,0,0,0
MOOC10/5.29/2,MOOC10/5.29,17401121,3 agterploegen,3 agterploegen,plough,5,3,1.04,0.35,0,0,0,0
MOOC10/10.82/82,MOOC10/10.82,17730227,2 nieuwe agterploegen,2 nieuwe agterploegen,plough,10,2,4.04,2.02,0,0,0,1
MOOC10/22.96/31,MOOC10/22.96,18080616,1 ploegen,1 agterstellen van een ploegen,plough,22,1,6.04,6.04,1,0,0,0
MOOC10/13.8/27,MOOC10/13.8,17800619/17800620,2 agter ploegen,2 agter ploegen en 1 agterstel,plough,13,2,7.04,3.52,1,0,0,0
MOOC10/19.65/42,MOOC10/19.65,18020322,2 ploegen,"2 ploegen, defect",plough,19,2,8.04,4.02,1,0,0,0
MOOC10/12.12/115,MOOC10/12.12,17771208,2 ploegen,2 ploegen en 1 voorstel,plough,12,2,10.04,5.02,1,0,0,0
MOOC10/5.59/21,MOOC10/5.59,17440106, ploegen,2 voorstellen van ploegen,plough,5,,3.08,-99,1,0,0,0
MOOC10/15.58/59,MOOC10/15.58,17880403,2 agterploegen,2 agterploegen,plough,15,2,5.08,2.54,0,0,0,0
MOOC10/15.53/2,MOOC10/15.53,17880107,2 ploegen,2 ploegen,plough,15,2,1.12,0.56,0,0,0,0
MOOC10/4.157/79,MOOC10/4.157,17370617,2 agterploegen,2 agterploegen,plough,4,2,0.15,0.07,0,0,0,0
MOOC10/13.9/70,MOOC10/13.9,17800615/17800616,2 agter ploegen,2 agter ploegen,plough,13,2,5.15,2.58,0,0,0,0
MOOC10/10.52/45,MOOC10/10.52,17710916,2 ploegen,2 ploegen,plough,10,2,0.19,0.1,0,0,0,0
MOOC10/2.34/278,MOOC10/2.34,17211128,2 ploegen,2 ploegen met 2 eggen,plough,2,2,7.19,3.6,1,0,0,0
MOOC10/15.12/75,MOOC10/15.12,17860505/17860506,2 agterploegen,2 agterploegen,plough,15,2,2.27,1.14,0,0,0,0
MOOC10/3.49/27,MOOC10/3.49,17241113,1 ploegh,1 ploegh,plough,3,1,4.0,4.0,0,0,0,0
MOOC10/11.40/2,MOOC10/11.40,17750513,1 ploegh,een ploegh,plough,11,1,1.04,1.04,0,0,0,0
MOOC10/3.64/37,MOOC10/3.64,17241108,1 ploegh,1 ploegh,plough,3,1,6.04,6.04,0,0,0,0
MOOC10/3.46/92,MOOC10/3.46,17231025,1 ploegh,1 ploegh,plough,3,1,20.04,20.04,0,0,0,0
