purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/11.47/314,MOOC10/11.47,17761107/17761108,1 ijzere pot,1 ijzere pot,pot,11,1,0.0,0.0,0,0,0,0
MOOC10/11.47/315,MOOC10/11.47,17761107/17761108,1 ijzere pot,1 ijzere pot,pot,11,1,0.0,0.0,0,0,0,0
MOOC10/3.47/91,MOOC10/3.47,17231210,1 ijzere pot,1 ijzere pot met 1 ijzere schoorsteen ketting,pot,3,1,1.0,1.0,1,0,0,0
MOOC10/3.61/34,MOOC10/3.61,17260614,3 atchiaar potten,"1 glase rakje, 3 atchiaar potten en wat rommeling",pot,3,3,1.0,0.33,1,0,0,0
MOOC10/3.64/5,MOOC10/3.64,17241108,1 ijsere pot,1 ijsere pot,pot,3,1,1.0,1.0,0,0,0,0
MOOC10/3.66/65,MOOC10/3.66,17240602,1 ijsere pot,1 ijsere pot,pot,3,1,1.0,1.0,0,0,0,0
MOOC10/4.110/304,MOOC10/4.110,17330617,1 aarde pot,1 aarde pot met 1 blicke theebos,pot,4,1,1.0,1.0,1,0,0,0
MOOC10/4.158/50,MOOC10/4.158,17370624,1 ijsere pot,"1 ijsere pot met coriander zaad, 1 oude lessenaar en 1 rijstmaat",pot,4,1,1.0,1.0,1,0,0,0
MOOC10/5.1/50,MOOC10/5.1,17371104,1 pothaal,1 pothaal en 1 pan,pot,5,1,1.0,1.0,1,0,0,0
MOOC10/5.25/4,MOOC10/5.25,17391104,2 aarde potten,2 aarde potten met 6 zijldoekse sacken,pot,5,2,1.0,0.5,1,0,0,0
MOOC10/5.51/110,MOOC10/5.51,17421001,1 ijser pot,1 ijser pot,pot,5,1,1.0,1.0,0,0,0,0
MOOC10/5.64/43,MOOC10/5.64,17280414,3 potten,1 stelletje van 3 potten en 2 bekers,pot,5,3,1.0,0.33,1,0,0,0
MOOC10/10.21/168,MOOC10/10.21,17690109/17690110,1 pot,1 wagen bankje en 1 pot,pot,10,1,1.0,1.0,1,0,0,0
MOOC10/10.31/50,MOOC10/10.31,17701112,1 ijsere pot,1 ijsere pot en zijn deksel,pot,10,1,1.0,1.0,1,0,0,0
MOOC10/10.39/23,MOOC10/10.39,17710605,2 aardepotten,2 aardepotten met wat vet,pot,10,2,1.0,0.5,1,0,0,0
MOOC10/10.43/83,MOOC10/10.43,17710415,2 ijsere potten,2 ijsere potten,pot,10,2,1.0,0.5,0,0,0,0
MOOC10/10.53/16,MOOC10/10.53,17720302,1 ijsere pot,1 ijsere pot,pot,10,1,1.0,1.0,0,0,0,0
MOOC10/10.55/128,MOOC10/10.55,17720127,1 ijsere pot,1 ijsere pot en 1 leedige kelder,pot,10,1,1.0,1.0,1,0,0,0
MOOC10/10.59/106,MOOC10/10.59,17730111,1 ijsere pot,1 ijsere pot,pot,10,1,1.0,1.0,0,0,0,0
MOOC10/10.74/90,MOOC10/10.74,17730111,1 aarde potten,"3 messen, 1 aarde potten en wat romm:g",pot,10,1,1.0,1.0,1,0,0,0
MOOC10/11.5/1091,MOOC10/11.5,17730329/17730330 17730401/17730402,1 ijsere pot,1 ijsere pot,pot,11,1,1.0,1.0,0,0,0,0
MOOC10/11.16/166,MOOC10/11.16,17750515,1 tinne sauspot,1 tinne sauspot,pot,11,1,1.0,1.0,0,0,0,0
MOOC10/11.27/106,MOOC10/11.27,17740809/17740810,2 ceulse potten,2 ceulse potten en wat romm:g,pot,11,2,1.0,0.5,1,0,0,0
MOOC10/11.57/45,MOOC10/11.57,17761223/17761224,3 ijzere potten,3 ijzere potten,pot,11,3,1.0,0.33,0,0,0,0
