purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/7.42/287,MOOC10/7.42,17551203/17551204,1 sheepel,1 sheepel en 1 coornschoppen,sheep,7,1,2.0,2.0,1,0,0,0
MOOC10/22.51/81,MOOC10/22.51,18070625/18070627,1 sheepel,1 sheepel en 1 emmer,sheep,22,1,3.0,3.0,1,0,0,0
MOOC10/5.51/86,MOOC10/5.51,17421001,25 schapen,25 schapen,sheep,5,25,4.0,0.16,0,0,0,0
MOOC10/8.5/26,MOOC10/8.5,17580320,32 schaapen groot,32 schaapen groot en kleijn,sheep,8,32,4.0,0.12,1,0,0,0
MOOC10/5.51/85,MOOC10/5.51,17421001,26 schapen,26 schapen,sheep,5,26,5.0,0.19,0,0,0,0
MOOC10/10.4/2,MOOC10/10.4,17700312,10 schaapen,10 schaapen,sheep,10,10,5.0,0.5,0,0,0,0
MOOC10/10.4/6,MOOC10/10.4,17700312,15 schaapen,15 schaapen,sheep,10,15,5.0,0.33,0,0,0,0
MOOC10/16.24/48,MOOC10/16.24,17900324,52 schapen,52 schapen,sheep,16,52,5.0,0.1,0,0,0,0
MOOC10/16.41/50,MOOC10/16.41,17921001,5 schaap rammen,5 schaap rammen,sheep,16,5,5.0,1.0,0,0,0,0
MOOC10/17.18/65,MOOC10/17.18,17941013,26 schaape,26 schaape en bokke,sheep,17,26,5.0,0.19,1,0,0,0
MOOC10/18.64/69,MOOC10/18.64,17990816/17990817,8 aanteel schapen,8 aanteel schapen,sheep,18,8,5.0,0.62,0,0,0,0
MOOC10/26.27/85,MOOC10/26.27,18120820,6 kaapsche schaap rammen,6 kaapsche schaap rammen,sheep,26,6,5.0,0.83,0,0,0,0
MOOC10/26.27/86,MOOC10/26.27,18120820,6 spaansche schaap rammen,6 spaansche schaap rammen,sheep,26,6,5.0,0.83,0,0,0,0
MOOC10/4.137/88,MOOC10/4.137,17341220,7 schapen,7 schapen,sheep,4,7,6.0,0.86,0,0,0,0
MOOC10/5.20/601,MOOC10/5.20,17380324,6 schapen,6 schapen,sheep,5,6,6.0,1.0,0,0,0,0
MOOC10/5.51/84,MOOC10/5.51,17421001,25 schapen,25 schapen,sheep,5,25,6.0,0.24,0,0,0,0
MOOC10/10.4/171,MOOC10/10.4,17700312,12 schaapen,12 schaapen,sheep,10,12,6.0,0.5,0,0,0,0
MOOC10/12.47/4,MOOC10/12.47,17800331,29 aanteelschapen,29 aanteelschapen en bocken,sheep,12,29,6.0,0.21,1,0,0,0
MOOC10/3.48/75,MOOC10/3.48,17241201,8 schapen,8 schapen,sheep,3,8,8.0,1.0,0,0,0,0
MOOC10/11.47/60,MOOC10/11.47,17761107/17761108,56 aanteel schapen,56 aanteel schapen,sheep,11,56,8.0,0.14,0,0,0,0
MOOC10/16.41/51,MOOC10/16.41,17921001,8 schaap rammen,8 schaap rammen,sheep,16,8,8.0,1.0,0,0,0,0
MOOC10/8.32/30,MOOC10/8.32,17611031,50 schaapen,50 schaapen,sheep,8,50,8.0,0.16,0,0,0,0
MOOC10/9.1/7,MOOC10/9.1,17650401,84 schapen,84 schapen,sheep,9,84,8.0,0.1,0,0,0,0
MOOC10/5.74/337,MOOC10/5.74,17470111,37 schaapen,37 schaapen,sheep,5,37,10.0,0.27,0,0,0,0
MOOC10/11.16/96,MOOC10/11.16,17750515,134 schapen,134 schapen en bokken in soort,sheep,11,134,10.0,0.07,1,0,0,0
MOOC10/12.30/184,MOOC10/12.30,17790607/17790608,45 schaapen,45 schaapen,sheep,12,45,10.0,0.22,0,0,0,0
MOOC10/12.40/31,MOOC10/12.40,17790909,50 aanteel schapen,50 aanteel schapen,sheep,12,50,10.0,0.2,0,0,0,0
MOOC10/14.51/101,MOOC10/14.51,17840329,24 lammerschapen,24 lammerschapen,sheep,14,24,10.0,0.42,0,0,0,0
MOOC10/19.43/53,MOOC10/19.43,18030131,12 schapen,12 schapen,sheep,19,12,10.0,0.83,0,0,0,0
MOOC10/19.43/61,MOOC10/19.43,18030131,12 schapen,12 schapen,sheep,19,12,10.0,0.83,0,0,0,0
MOOC10/21.16/110,MOOC10/21.16,18050306,10 aanteelschapen,10 aanteelschapen,sheep,21,10,10.0,1.0,0,0,0,0
MOOC10/22.17/27,MOOC10/22.17,18051219/18051220,8 aanteel schapen,8 aanteel schapen en 8 lammers,sheep,22,8,10.0,1.25,1,0,0,0
MOOC10/24.13/11,MOOC10/24.13,18071223,10 schaapen,10 schaapen,sheep,24,10,10.0,1.0,0,0,0,0
MOOC10/24.13/13,MOOC10/24.13,18071223,10 schaapen,10 schaapen,sheep,24,10,10.0,1.0,0,0,0,0
MOOC10/9.1/2,MOOC10/9.1,17650401,51 schapen,51 schapen,sheep,9,51,10.0,0.2,0,0,0,0
MOOC10/26.9/15,MOOC10/26.9,18111030,20 schape,20 schape,sheep,26,20,11.0,0.55,0,0,0,0
MOOC10/26.9/20,MOOC10/26.9,18111030,17 schape,17 schape,sheep,26,17,11.0,0.65,0,0,0,0
MOOC10/5.50/9,MOOC10/5.50,17440508,39 schaapen,39 schaapen,sheep,5,39,12.0,0.31,0,0,0,0
MOOC10/11.47/43,MOOC10/11.47,17761107/17761108,100 aanteel schapen,100 aanteel schapen,sheep,11,100,12.0,0.12,0,0,0,0
MOOC10/16.43/107,MOOC10/16.43,17921010,11 schaap rammen,elf schaap rammen,sheep,16,11,12.0,1.09,0,0,0,0
MOOC10/19.43/54,MOOC10/19.43,18030131,12 schapen,12 schapen,sheep,19,12,12.0,1.0,0,0,0,0
MOOC10/9.46/57,MOOC10/9.46,17680926,58 schapen,58 schapen,sheep,9,58,12.0,0.21,0,0,0,0
MOOC10/12.32/2,MOOC10/12.32,17761101,67 aanteel schapen,67 aanteel schapen,sheep,12,67,13.0,0.19,0,0,0,0
MOOC10/10.44/33,MOOC10/10.44,17710218,58 schaapen,58 schaapen en bocken,sheep,10,58,14.0,0.24,1,0,0,0
MOOC10/11.47/44,MOOC10/11.47,17761107/17761108,100 aanteel schapen,100 aanteel schapen,sheep,11,100,14.0,0.14,0,0,0,0
MOOC10/11.47/45,MOOC10/11.47,17761107/17761108,101 aanteel schapen,101 aanteel schapen,sheep,11,101,14.0,0.14,0,0,0,0
MOOC10/24.13/6,MOOC10/24.13,18071223,10 schaapen,10 schaapen,sheep,24,10,14.0,1.4,0,0,0,0
MOOC10/24.13/14,MOOC10/24.13,18071223,10 schaapen,10 schaapen,sheep,24,10,14.0,1.4,0,0,0,0
MOOC10/26.9/19,MOOC10/26.9,18111030,20 schape,20 schape,sheep,26,20,14.0,0.7,0,0,0,0
MOOC10/7.19/60,MOOC10/7.19,17541030,70 schaape groot,70 schaape groot en klijn,sheep,7,70,14.0,0.2,1,0,0,0
MOOC10/11.47/42,MOOC10/11.47,17761107/17761108,101 aanteel schapen,101 aanteel schapen,sheep,11,101,15.0,0.15,0,0,0,0
MOOC10/17.42/33,MOOC10/17.42,17960502,16 schaapen,16 schaapen,sheep,17,16,15.0,0.94,0,0,0,0
MOOC10/26.9/14,MOOC10/26.9,18111030,30 schape,30 schape,sheep,26,30,15.0,0.5,0,0,0,0
MOOC10/26.9/17,MOOC10/26.9,18111030,21 schape,21 schape,sheep,26,21,15.0,0.71,0,0,0,0
MOOC10/10.28/69,MOOC10/10.28,17691120,100 schaapen,100 schaapen,sheep,10,100,16.0,0.16,0,0,0,0
MOOC10/11.50/5,MOOC10/11.50,17770215,67 schapen,67 schapen en bokken,sheep,11,67,16.0,0.24,1,0,0,0
MOOC10/13.41/42,MOOC10/13.41,17820508,37 schapen,37 schapen,sheep,13,37,16.0,0.43,0,0,0,0
MOOC10/15.30/46,MOOC10/15.30,17870322,30 aanteel schapen,30 aanteel schapen,sheep,15,30,16.0,0.53,0,0,0,0
MOOC10/15.53/28,MOOC10/15.53,17880107,10 aanteelschapen,10 aanteelschapen,sheep,15,10,16.0,1.6,0,0,0,0
MOOC10/18.72/79,MOOC10/18.72,17970525,25 schape,25 schape,sheep,18,25,16.0,0.64,0,0,0,0
MOOC10/19.7/63,MOOC10/19.7,18000107,69 lammer schapen,69 lammer schapen en geijten,sheep,19,69,16.0,0.23,1,0,0,0
MOOC10/26.9/16,MOOC10/26.9,18111030,22 schape,22 schape,sheep,26,22,16.0,0.73,0,0,0,0
MOOC10/26.9/18,MOOC10/26.9,18111030,22 schape,22 schape,sheep,26,22,16.0,0.73,0,0,0,0
MOOC10/5.60/51,MOOC10/5.60,17411005,104 schapen,104 schapen en bocken,sheep,5,104,17.0,0.16,1,0,0,0
MOOC10/5.65/62,MOOC10/5.65,17451109,50 schaapen,50 schaapen,sheep,5,50,17.0,0.34,0,0,0,0
MOOC10/11.50/4,MOOC10/11.50,17770215,50 schapen,50 schapen,sheep,11,50,17.0,0.34,0,0,0,0
MOOC10/16.24/49,MOOC10/16.24,17900324,51 schapen,51 schapen,sheep,16,51,17.0,0.33,0,0,0,0
MOOC10/18.72/80,MOOC10/18.72,17970525,25 schape,25 schape,sheep,18,25,17.0,0.68,0,0,0,0
MOOC10/26.9/21,MOOC10/26.9,18111030,24 schape,24 schape,sheep,26,24,17.0,0.71,0,0,0,0
MOOC10/6.13/19,MOOC10/6.13,17501204,52 schaapen,52 schaapen,sheep,6,52,17.0,0.33,0,0,0,0
MOOC10/10.82/35,MOOC10/10.82,17730227,100 schapen,100 schapen en bocken,sheep,10,100,18.0,0.18,1,0,0,0
MOOC10/11.47/48,MOOC10/11.47,17761107/17761108,100 aanteel schapen,100 aanteel schapen,sheep,11,100,18.0,0.18,0,0,0,0
MOOC10/11.47/49,MOOC10/11.47,17761107/17761108,100 aanteel schapen,100 aanteel schapen,sheep,11,100,18.0,0.18,0,0,0,0
MOOC10/16.68/46,MOOC10/16.68,17920913,24 aanteel schapen,24 aanteel schapen,sheep,16,24,18.0,0.75,0,0,0,0
MOOC10/18.20/64,MOOC10/18.20,17900128,50 schapen,50 schapen,sheep,18,50,18.0,0.36,0,0,0,0
MOOC10/26.37/33,MOOC10/26.37,18120601,23 schaapen,23 schaapen,sheep,26,23,18.0,0.78,0,0,0,0
MOOC10/7.13/2,MOOC10/7.13,17560325/17560326,50 schapen,50 schapen,sheep,7,50,18.0,0.36,0,0,0,0
MOOC10/7.13/8,MOOC10/7.13,17560325/17560326,51 schapen,51 schapen,sheep,7,51,18.0,0.35,0,0,0,0
MOOC10/5.54/43,MOOC10/5.54,17450611,54 schaapen,54 schaapen,sheep,5,54,19.0,0.35,0,0,0,0
MOOC10/12.47/1,MOOC10/12.47,17800331,50 aanteelschapen,50 aanteelschapen,sheep,12,50,19.0,0.38,0,0,0,0
MOOC10/17.9/29,MOOC10/17.9,17941103,39 schaape,39 schaape,sheep,17,39,19.0,0.49,0,0,0,0
MOOC10/18.72/84,MOOC10/18.72,17970525,25 schape,25 schape,sheep,18,25,19.0,0.76,0,0,0,0
MOOC10/5.54/45,MOOC10/5.54,17450611,50 schaapen,50 schaapen,sheep,5,50,20.0,0.4,0,0,0,0
MOOC10/5.69/61,MOOC10/5.69,17460825,118 schapen,118 schapen,sheep,5,118,20.0,0.17,0,0,0,0
MOOC10/10.6/5,MOOC10/10.6,17700319,102 schaapen,102 schaapen,sheep,10,102,20.0,0.2,0,0,0,0
MOOC10/10.34/94,MOOC10/10.34,17710819,101 schaapen,101 schaapen,sheep,10,101,20.0,0.2,0,0,0,0
MOOC10/10.49/49,MOOC10/10.49,17711104,100 schaapen,100 schaapen,sheep,10,100,20.0,0.2,0,0,0,0
MOOC10/10.58/27,MOOC10/10.58,17711104,100 schaapen,100 schaapen,sheep,10,100,20.0,0.2,0,0,0,0
MOOC10/11.17/39,MOOC10/11.17,17741205/17741206,60 schapen,60 schapen,sheep,11,60,20.0,0.33,0,0,0,0
MOOC10/11.47/52,MOOC10/11.47,17761107/17761108,100 aanteel schapen,100 aanteel schapen,sheep,11,100,20.0,0.2,0,0,0,0
MOOC10/12.18/50,MOOC10/12.18,17780625,150 aanteelschaapen,150 aanteelschaapen,sheep,12,150,20.0,0.13,0,0,0,0
MOOC10/12.47/3,MOOC10/12.47,17800331,51 aanteelschapen,51 aanteelschapen,sheep,12,51,20.0,0.39,0,0,0,0
MOOC10/15.3/19,MOOC10/15.3,17851003,38 lammer schapen,38 lammer schapen,sheep,15,38,20.0,0.53,0,0,0,0
MOOC10/15.63/59,MOOC10/15.63,17880708,70 schapen,70 schapen,sheep,15,70,20.0,0.29,0,0,0,0
MOOC10/16.45/56,MOOC10/16.45,17930110,50 aanteel schapen,50 aanteel schapen,sheep,16,50,20.0,0.4,0,0,0,0
MOOC10/17.39/18,MOOC10/17.39,17951127,50 aanteel schapen,50 aanteel schapen,sheep,17,50,20.0,0.4,0,0,0,0
MOOC10/17.51/394,MOOC10/17.51,17960523/17960524,100 schurfde schaapen,100 schurfde schaapen,sheep,17,100,20.0,0.2,0,0,0,0
MOOC10/18.72/82,MOOC10/18.72,17970525,25 schape,25 schape,sheep,18,25,20.0,0.8,0,0,0,0
MOOC10/21.16/112,MOOC10/21.16,18050306,10 aanteelschapen,10 aanteelschapen,sheep,21,10,20.0,2.0,0,0,0,0
