purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/5.52/380,MOOC10/5.52,17450913,1 slaves,1 jonge gen:t moses van bengalen onder voorwaarde van nooijt ofte oijt weederom op batavia te koomen,slaves,5,1,21.19,21.19,0,0,0,0
MOOC10/4.128/1,MOOC10/4.128,17370606,1 slaves,1 jonge gen:t domingo van mallabaar,slaves,4,1,26.19,26.19,0,0,0,0
MOOC10/7.48/242,MOOC10/7.48,17560319,1 slaves,1 jonge  zacharias v: maccasser,slaves,7,1,26.19,26.19,0,0,0,0
MOOC10/4.138/1,MOOC10/4.138,17341220,1 slaves,1 meijsje gen:t  wilhelmijntje van de caab,slaves,4,1,39.19,39.19,0,0,0,0
MOOC10/4.153/1,MOOC10/4.153,17381103,1 slaves,1 jonge gen:t fortuijn van mallabaar,slaves,4,1,56.19,56.19,0,0,0,0
MOOC10/4.100/1,MOOC10/4.100,17311019,1 slaves,1 jonge gen:t simon van bengalen,slaves,4,1,77.19,77.19,0,0,0,0
MOOC10/5.81/1,MOOC10/5.81,17480807,1 slaves,1 slavejonge gen:t forthuijn alias toerniga van bougis,slaves,5,1,88.19,88.19,0,0,0,0
MOOC10/4.140/1,MOOC10/4.140,17350711,1 slaves,1 jonge gen:t macoentje van rio de la goa,slaves,4,1,99.19,99.19,0,0,0,0
MOOC10/2.15/2,MOOC10/2.15,17200504,1 slaves,1 slaaf gen:t salomon van de caab,slaves,2,1,121.19,121.19,0,0,0,0
MOOC10/2.17_1/2/1,MOOC10/2.17_1/2,17200824,2 slaves,een meijd genaamt petronella van de caab met haer kind,slaves,2,2,137.19,68.59,0,0,0,0
MOOC10/2.15/1,MOOC10/2.15,17200504,1 slaves,1 slaaf gen:t arij van de caab,slaves,2,1,266.19,266.19,0,0,0,0
MOOC10/20.1/89,MOOC10/20.1,18030531,1 slaves,1 slave meijsje gen:t camorin van de caap lam en gebrekkig,slaves,20,1,1.0,1.0,0,0,0,0
MOOC10/21.5/1,MOOC10/21.5,18050919,1 slaves,1 slave mijd gen:d stijn van cabo,slaves,21,1,1.0,1.0,0,0,0,0
MOOC10/22.51/244,MOOC10/22.51,18070625/18070627,1 slaves,1 jongen gen:t bachus van bougies oud en afgeleefd,slaves,22,1,1.0,1.0,0,0,0,0
MOOC10/22.51/247,MOOC10/22.51,18070625/18070627,1 slaves,1 jongen gen:d april van mallebaar oud en afgeleefd,slaves,22,1,1.0,1.0,0,0,0,0
MOOC10/22.51/258,MOOC10/22.51,18070625/18070627,1 slaves,1 meid gen:d margariet van mauritius v:s:,slaves,22,1,1.0,1.0,0,0,0,0
MOOC10/10.78/39,MOOC10/10.78,17730510,1 slaves,1 slavinne gen:t jannetje van de caab,slaves,10,1,2.0,2.0,0,0,0,0
