purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/3.38/228,MOOC10/3.38,17220624,1 vierkante tafel,1 bak kist en 1 vierkante tafel,tables,3,1,1.0,1.0,1,0,0,0
MOOC10/3.43/19,MOOC10/3.43,17221219,1 vierkante tafel,1 vierkante tafel,tables,3,1,1.0,1.0,0,0,0,0
MOOC10/3.75/55,MOOC10/3.75,17290228,1 vierkante tafel,1 vierkante tafel,tables,3,1,1.0,1.0,0,0,0,0
MOOC10/3.85/15,MOOC10/3.85,17290620,1 ovale tafel,1 ovale tafel,tables,3,1,1.0,1.0,0,0,0,0
MOOC10/4.117/51,MOOC10/4.117,17330328,1 vierkante tafel,1 vierkante tafel,tables,4,1,1.0,1.0,0,0,0,0
MOOC10/4.124/312,MOOC10/4.124,17340615,1 combuijs tafel,1 combuijs tafel,tables,4,1,1.0,1.0,0,0,0,0
MOOC10/4.157/332,MOOC10/4.157,17370617,1 tafel,"1 pottebank, 1 tafel en 2 water halfamen",tables,4,1,1.0,1.0,1,0,0,0
MOOC10/5.9/3,MOOC10/5.9,17350804,1 tafel,1 tafel,tables,5,1,1.0,1.0,0,0,0,0
MOOC10/5.17/124,MOOC10/5.17,17380715,1 tafel,1 tafel,tables,5,1,1.0,1.0,0,0,0,0
MOOC10/5.22/403,MOOC10/5.22,17380428,1 vierkante tafel,1 vierkante tafel met 6 tinneborden en 1 stuk loot,tables,5,1,1.0,1.0,1,0,0,0
MOOC10/5.25/153,MOOC10/5.25,17391104,1 tafel,1 tafel met 1 houte bank,tables,5,1,1.0,1.0,1,0,0,0
MOOC10/5.47/68,MOOC10/5.47,17440807,2 vierkante tafel,2 vierkante tafel,tables,5,2,1.0,0.5,0,0,0,0
MOOC10/5.51/118,MOOC10/5.51,17421001,1 tafel,1 tafel,tables,5,1,1.0,1.0,0,0,0,0
MOOC10/5.53/46,MOOC10/5.53,17451030,1 vierkante tafel,1 vierkante tafel,tables,5,1,1.0,1.0,0,0,0,0
MOOC10/5.63/221,MOOC10/5.63,17410420,1 vierkante tafel,1 vierkante tafel,tables,5,1,1.0,1.0,0,0,0,0
MOOC10/5.71/13,MOOC10/5.71,17460723,1 combuystafel,1 combuystafel,tables,5,1,1.0,1.0,0,0,0,0
MOOC10/10.2/10,MOOC10/10.2,17680411/17680414,1 lijtafel,1 lijtafel,tables,10,1,1.0,1.0,0,0,0,0
MOOC10/10.4/166,MOOC10/10.4,17700312,1 vierk:t tafel,1 vierk:t tafel,tables,10,1,1.0,1.0,0,0,0,0
MOOC10/10.6/79,MOOC10/10.6,17700319,1 tafel,1 tafel,tables,10,1,1.0,1.0,0,0,0,0
MOOC10/10.18/171,MOOC10/10.18,17700314,1 vierkante tafel,1 vierkante tafel,tables,10,1,1.0,1.0,0,0,0,0
MOOC10/10.18/176,MOOC10/10.18,17700314,1 tafel,1 tafel,tables,10,1,1.0,1.0,0,0,0,0
MOOC10/10.29/173,MOOC10/10.29,17710814,1 viercante tafel,1 viercante tafel,tables,10,1,1.0,1.0,0,0,0,0
MOOC10/10.31/6,MOOC10/10.31,17701112,1 viercante tafel,1 viercante tafel,tables,10,1,1.0,1.0,0,0,0,0
MOOC10/10.50/196,MOOC10/10.50,17711130,1 tafel,1 tafel en 1 balij,tables,10,1,1.0,1.0,1,0,0,0
MOOC10/10.53/34,MOOC10/10.53,17720302,1 viercante tafel,1 viercante tafel,tables,10,1,1.0,1.0,0,0,0,0
MOOC10/10.63/149,MOOC10/10.63,17721223,1 ovale tafel,1 ovale tafel,tables,10,1,1.0,1.0,0,0,0,0
MOOC10/10.64/14,MOOC10/10.64,17730215,1 tafel,1 tafel,tables,10,1,1.0,1.0,0,0,0,0
MOOC10/10.67/30,MOOC10/10.67,17730119,1 tafel,1 tafel,tables,10,1,1.0,1.0,0,0,0,0
MOOC10/10.81/79,MOOC10/10.81,17730308/17730311,2 vormtafels,"2 vormtafels, 1 hortje en 1 lessenaar",tables,10,2,1.0,0.5,1,0,0,0
MOOC10/10.81/1113,MOOC10/10.81,17730308/17730311,1 tafel,1 tafel,tables,10,1,1.0,1.0,0,0,0,0
MOOC10/11.17/328,MOOC10/11.17,17741205/17741206,1 combuijs tafel,1 combuijs tafel,tables,11,1,1.0,1.0,0,0,0,0
MOOC10/11.17/332,MOOC10/11.17,17741205/17741206,1 tafel,1 tafel,tables,11,1,1.0,1.0,0,0,0,0
MOOC10/11.29/10,MOOC10/11.29,17741004,1 tafel,"1 tafel, 1 bakkist en wat romling",tables,11,1,1.0,1.0,1,0,0,0
MOOC10/11.33/23,MOOC10/11.33,17760731,1 tafel,1 tafel,tables,11,1,1.0,1.0,0,0,0,0
MOOC10/11.44/1,MOOC10/11.44,17760925/17760926,1 tafel,1 tafel,tables,11,1,1.0,1.0,0,0,0,0
MOOC10/11.65/114,MOOC10/11.65,17770606,1 tafel,1 tafel,tables,11,1,1.0,1.0,0,0,0,0
MOOC10/12.18/107,MOOC10/12.18,17780625,1 tafel,1 taartpan en 1 tafel,tables,12,1,1.0,1.0,1,0,0,0
MOOC10/12.22/121,MOOC10/12.22,17781026,1 tafel,1 tafel,tables,12,1,1.0,1.0,0,0,0,0
MOOC10/12.24/94,MOOC10/12.24,17790426,1 vierkante tafel,1 vierkante tafel,tables,12,1,1.0,1.0,0,0,0,0
MOOC10/13.8/340,MOOC10/13.8,17800619/17800620,1 vierkante tafel,1 vierkante tafel,tables,13,1,1.0,1.0,0,0,0,0
MOOC10/13.22/196,MOOC10/13.22,17810420,1 combuijs tafel,1 combuijs tafel,tables,13,1,1.0,1.0,0,0,0,0
MOOC10/13.27/3,MOOC10/13.27,17810522,1 tafel,1 tafel,tables,13,1,1.0,1.0,0,0,0,0
MOOC10/13.32/7,MOOC10/13.32,17810528,1 combuijs tavel,1 combuijs tavel,tables,13,1,1.0,1.0,0,0,0,0
