purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/3.59/44,MOOC10/3.59,17260425,1 tinne vork,15 tinne lepels en 1 tinne vork,utensils,3,1,1.0,1.0,1,0,0,0
MOOC10/3.59/64,MOOC10/3.59,17260425,1 vork,"2 tangen, 1 schuijmspaan en 1 vork",utensils,3,1,1.0,1.0,1,0,0,0
MOOC10/4.119/425,MOOC10/4.119,17330713,19 vorken,1 doosje met 7 messen en 19 vorken,utensils,4,19,1.0,0.05,1,0,0,0
MOOC10/4.120/24,MOOC10/4.120,17340609,27 vorken,20 tinne lepels en 27 vorken,utensils,4,27,1.0,0.04,1,0,0,0
MOOC10/4.157/24,MOOC10/4.157,17370617,2 mist vorken,5 koorn en 2 mist vorken,utensils,4,2,1.0,0.5,1,0,0,0
MOOC10/5.20/124,MOOC10/5.20,17380324, vork,1 japans mes en vork met silver beslag,utensils,5,,1.0,-99,1,0,0,0
MOOC10/5.52/357,MOOC10/5.52,17450913,1 vleesvork,"1 scheplepel, 1 vleesvork en 1 tang",utensils,5,1,1.0,1.0,1,0,0,0
MOOC10/5.60/101,MOOC10/5.60,17411005, vorken,1 parthij messen en vorken,utensils,5,,1.0,-99,1,0,0,0
MOOC10/5.75/266,MOOC10/5.75,17470220,12 vorken,12 vorken,utensils,5,12,1.0,0.08,0,0,0,0
MOOC10/10.2/420,MOOC10/10.2,17680411/17680414,12 stale forken,"1 dozijn stale forken, 1 dozijn ijsere forken",utensils,10,12,1.0,0.08,1,0,0,0
MOOC10/10.22/2213,MOOC10/10.22,17690123/17690130,1 ijsere fork,1 cop:e leepel en 1 ijsere fork,utensils,10,1,1.0,1.0,1,0,0,0
MOOC10/10.31/42,MOOC10/10.31,17701112,6 vorken,"1 coper keetel, 5 messen, 6 vorken en 4 tinne leepels",utensils,10,6,1.0,0.17,1,0,0,0
MOOC10/10.36/66,MOOC10/10.36,17710430,6 vorken,"10 tinne leepels, 6 vorken en 1 spiegeltje",utensils,10,6,1.0,0.17,1,0,0,0
MOOC10/10.45/35,MOOC10/10.45,17711230,7 forken,"12 messen, 7 forken en 1 bak",utensils,10,7,1.0,0.14,1,0,0,0
MOOC10/10.50/124,MOOC10/10.50,17711130,1 ijsere vleeschvork,1 ijsere vleeschvork en 1 schuijmspan,utensils,10,1,1.0,1.0,1,0,0,0
MOOC10/10.50/173,MOOC10/10.50,17711130,26 forken,26 forken en 1 parthij boeken,utensils,10,26,1.0,0.04,1,0,0,0
MOOC10/10.54/48,MOOC10/10.54,17710924,12 ijsere forken,12 ijsere forken en 3 tinne leepels,utensils,10,12,1.0,0.08,1,0,0,0
MOOC10/10.55/104,MOOC10/10.55,17720127,8 forken,13 tinne leepels en 8 forken,utensils,10,8,1.0,0.12,1,0,0,0
MOOC10/10.55/108,MOOC10/10.55,17720127,17 forken,5 messen en 17 forken,utensils,10,17,1.0,0.06,1,0,0,0
MOOC10/10.59/130,MOOC10/10.59,17730111,12 vorken,4 tinne leepels en 12 vorken,utensils,10,12,1.0,0.08,1,0,0,0
MOOC10/10.62/144,MOOC10/10.62,17721214,9 forken,9 forken en 5 tinne lepels,utensils,10,9,1.0,0.11,1,0,0,0
MOOC10/10.80/43,MOOC10/10.80,17730628, vorken,"1 houte bak met 1 partij messen, vorken en 1 porcelijne schotel",utensils,10,,1.0,-99,1,0,0,0
MOOC10/11.17/8,MOOC10/11.17,17741205/17741206,1 hooijfork,"1 graaf, 1 pik, 1 hooijfork en romm:g",utensils,11,1,1.0,1.0,1,0,0,0
MOOC10/11.37/14,MOOC10/11.37,17760910,1 zilver forkje w:t 1 ⅝ loot,1 zilver lepeltje en 1 zilver forkje w:t 1 ⅝ loot,utensils,11,1,1.0,1.0,1,0,0,0
MOOC10/11.47/459,MOOC10/11.47,17761107/17761108,10 forken,10 lepels en 10 forken,utensils,11,10,1.0,0.1,1,0,0,0
MOOC10/11.60/380,MOOC10/11.60,17750220/17750221,1 partij vorken,1 porc: com met 1 partij vorken,utensils,11,1,1.0,1.0,1,1,0,0
MOOC10/11.62/3,MOOC10/11.62,17770220/17770221,1 vleesvork,"1 kookketel, 1 pan, 1 rooster, 1 vleesvork en 1 vuurtang",utensils,11,1,1.0,1.0,1,0,0,0
MOOC10/12.10/243,MOOC10/12.10,17770908/17770909,12 forken,12 forken,utensils,12,12,1.0,0.08,0,0,0,0
MOOC10/12.14/73,MOOC10/12.14,17780221,6 vorken,"1 soutvaatje, 1 peepperdoos, 5 leepels, 6 vorken en 2 messen",utensils,12,6,1.0,0.17,1,0,0,0
MOOC10/12.17/254,MOOC10/12.17,17780421/17780422,8 vorken,1 doosje met 5 messen en 8 vorken,utensils,12,8,1.0,0.12,1,0,0,0
MOOC10/12.18/140,MOOC10/12.18,17780625,11 staale vorken,11 staale vorken,utensils,12,11,1.0,0.09,0,0,0,0
MOOC10/12.22/91,MOOC10/12.22,17781026,6 vorken,6 messen en 6 vorken,utensils,12,6,1.0,0.17,1,0,0,0
MOOC10/12.26/106,MOOC10/12.26,17790312,1 vleeschvork,"1 strijkijzer met zijn voet, 1 cop: schuijmspan, 1 cop: rasp en 1 vleeschvork",utensils,12,1,1.0,1.0,1,0,0,0
MOOC10/12.30/218,MOOC10/12.30,17790607/17790608, vorken,1 partij lepels en vorken,utensils,12,,1.0,-99,1,0,0,0
MOOC10/12.39/149,MOOC10/12.39,17780810/17780811,2 silver confituur forken w: 1 ¾ loot,2 silver confituur forken w: 1 ¾ loot,utensils,12,2,1.0,0.5,0,0,0,0
