purchase_id,mooc_id,date,focal_good,good_desc,type,mooc_set,count,price,unit_price,bundle,group,old,new
MOOC10/3.43/27,MOOC10/3.43,17221219,1 oude osse waeg,1 oude osse waeg,wagons,3,1,32.0,32.0,0,0,1,0
MOOC10/3.38/51,MOOC10/3.38,17220624,1 osse waeg,1 osse waeg met 5 wielen,wagons,3,1,16.08,16.08,1,0,0,0
MOOC10/2.8/17,MOOC10/2.8,17181116,1 waagen,1 waagen,wagons,2,1,7.0,7.0,0,0,0,0
MOOC10/26.19/22,MOOC10/26.19,18110801,2 waagen schenen,twee waagen schenen,wagons,26,2,10.0,5.0,0,0,0,0
MOOC10/6.8/49,MOOC10/6.8,17500930/17501001,1 paardewaagen,1 nieuwe voorstel van 1 paardewaagen,wagons,6,1,13.0,13.0,1,0,0,0
MOOC10/10.59/100,MOOC10/10.59,17730111,1 waagen,1 waagen,wagons,10,1,19.0,19.0,0,0,0,0
MOOC10/22.15/19,MOOC10/22.15,18050604,1 oude losse waagen,1 oude losse waagen,wagons,22,1,19.0,19.0,0,0,1,0
MOOC10/6.13/18,MOOC10/6.13,17501204,1 ossewaagen,1 ossewaagen,wagons,6,1,20.0,20.0,0,0,0,0
MOOC10/8.49/199,MOOC10/8.49,17620329/17620330,1 paarde waagen,1 paarde waagen,wagons,8,1,20.0,20.0,0,0,0,0
MOOC10/3.42/123,MOOC10/3.42,17230809,1 ossewaagen,1 ossewaagen,wagons,3,1,21.0,21.0,0,0,0,0
MOOC10/9.21/1,MOOC10/9.21,17670415,1 oude waagen,1 oude waagen,wagons,9,1,26.0,26.0,0,0,1,0
MOOC10/8.34/66,MOOC10/8.34,17611006,1 ossewaagen,1 ossewaagen en toebehooren,wagons,8,1,30.0,30.0,1,0,0,0
MOOC10/8.49/500,MOOC10/8.49,17620329/17620330,1 osse waagen,1 osse waagen,wagons,8,1,30.0,30.0,0,0,0,0
MOOC10/12.41/87,MOOC10/12.41,17790917,1 paardewaagen,1 paardewaagen,wagons,12,1,32.0,32.0,0,0,0,0
MOOC10/18.3/108,MOOC10/18.3,17970405,1 waagen,1 waagen,wagons,18,1,32.0,32.0,0,0,0,0
MOOC10/6.11/38,MOOC10/6.11,17500924/17500925,1 ossewaagen,1 ossewaagen,wagons,6,1,32.0,32.0,0,0,0,0
MOOC10/8.54/57,MOOC10/8.54,17640319,1 paardewaagen,1 paardewaagen,wagons,8,1,32.0,32.0,0,0,0,0
MOOC10/6.8/47,MOOC10/6.8,17500930/17501001,1 ossewaagen,1 ossewaagen,wagons,6,1,36.0,36.0,0,0,0,0
MOOC10/6.11/36,MOOC10/6.11,17500924/17500925,1 ossewaagen,1 ossewaagen,wagons,6,1,40.0,40.0,0,0,0,0
MOOC10/6.11/41,MOOC10/6.11,17500924/17500925,1 paardewaagen,1 paardewaagen,wagons,6,1,41.0,41.0,0,0,0,0
MOOC10/8.32/92,MOOC10/8.32,17611031,1 osse waagen,1 osse waagen,wagons,8,1,41.0,41.0,0,0,0,0
MOOC10/11.3/52,MOOC10/11.3,17721105,1 oude waagen,1 oude waagen,wagons,11,1,42.0,42.0,0,0,1,0
MOOC10/15.74/131,MOOC10/15.74,17881103/17881104,1 osse waagen,1 osse waagen,wagons,15,1,42.0,42.0,0,0,0,0
MOOC10/3.42/124,MOOC10/3.42,17230809,1 ossewaagen,1 ossewaagen,wagons,3,1,43.0,43.0,0,0,0,0
MOOC10/15.60/25,MOOC10/15.60,17880604,1 oude osse waagen,1 oude osse waagen,wagons,15,1,50.0,50.0,0,0,1,0
MOOC10/8.49/203,MOOC10/8.49,17620329/17620330,1 osse waagen,1 osse waagen,wagons,8,1,50.0,50.0,0,0,0,0
MOOC10/7.26/84,MOOC10/7.26,17551022,1 osse waagen,1 osse waagen,wagons,7,1,51.0,51.0,0,0,0,0
MOOC10/15.74/130,MOOC10/15.74,17881103/17881104,1 osse waagen,1 osse waagen,wagons,15,1,52.0,52.0,0,0,0,0
MOOC10/15.74/129,MOOC10/15.74,17881103/17881104,1 osse waagen,1 osse waagen,wagons,15,1,57.0,57.0,0,0,0,0
MOOC10/14.10/15,MOOC10/14.10,17830519/17830510/17830521,1 osse waagen,1 osse waagen,wagons,14,1,60.0,60.0,0,0,0,0
MOOC10/8.49/198,MOOC10/8.49,17620329/17620330,1 paarde waagen,1 paarde waagen,wagons,8,1,60.0,60.0,0,0,0,0
MOOC10/14.10/14,MOOC10/14.10,17830519/17830510/17830521,1 paarde waagen,1 paarde waagen,wagons,14,1,70.0,70.0,0,0,0,0
MOOC10/8.49/201,MOOC10/8.49,17620329/17620330,1 osse waagen,1 osse waagen,wagons,8,1,71.0,71.0,0,0,0,0
MOOC10/6.11/37,MOOC10/6.11,17500924/17500925,1 ossewaagen,1 ossewaagen,wagons,6,1,75.0,75.0,0,0,0,0
MOOC10/13.9/118,MOOC10/13.9,17800615/17800616,1 paarde waagen,1 paarde waagen,wagons,13,1,77.0,77.0,0,0,0,0
MOOC10/26.31/62,MOOC10/26.31,18111202,1 osse waagen,1 osse waagen en trektouw,wagons,26,1,80.0,80.0,1,0,0,0
MOOC10/10.59/99,MOOC10/10.59,17730111,1 waagen,1 waagen,wagons,10,1,81.0,81.0,0,0,0,0
MOOC10/10.59/101,MOOC10/10.59,17730111,1 waagen,1 waagen,wagons,10,1,90.0,90.0,0,0,0,0
MOOC10/19.43/95,MOOC10/19.43,18030131,1 waagen,1 waagen,wagons,19,1,100.0,100.0,0,0,0,0
MOOC10/23.44/75,MOOC10/23.44,18080328,1 waagen,1 waagen,wagons,23,1,100.0,100.0,0,0,0,0
MOOC10/6.11/39,MOOC10/6.11,17500924/17500925,1 paardewaagen,1 paardewaagen,wagons,6,1,100.0,100.0,0,0,0,0
MOOC10/20.76/56,MOOC10/20.76,18040712,1 waagen,1 waagen met leere en buik,wagons,20,1,102.0,102.0,1,0,0,0
MOOC10/8.49/202,MOOC10/8.49,17620329/17620330,1 osse waagen,1 osse waagen,wagons,8,1,110.0,110.0,0,0,0,0
MOOC10/13.42/52,MOOC10/13.42,17820415,1 ossen waagen,1 ossen waagen met zijn toebehooren,wagons,13,1,120.0,120.0,1,0,0,0
MOOC10/6.11/35,MOOC10/6.11,17500924/17500925,1 ossewaagen,1 ossewaagen,wagons,6,1,123.0,123.0,0,0,0,0
MOOC10/15.74/127,MOOC10/15.74,17881103/17881104,1 osse waagen,1 osse waagen,wagons,15,1,126.0,126.0,0,0,0,0
MOOC10/15.17/36,MOOC10/15.17,17860627,1 paardewaagen,1 paardewaagen,wagons,15,1,128.0,128.0,0,0,0,0
MOOC10/15.74/128,MOOC10/15.74,17881103/17881104,1 osse waagen,1 osse waagen,wagons,15,1,151.0,151.0,0,0,0,0
MOOC10/16.51/17,MOOC10/16.51,17910915,1 ossen waagen,1 ossen waagen met zijn zijl,wagons,16,1,170.0,170.0,1,0,0,0
MOOC10/15.48/86,MOOC10/15.48,17860315/17860316,1 waagen,1 waagen met zijn toebeh:,wagons,15,1,200.0,200.0,1,0,0,0
MOOC10/15.74/126,MOOC10/15.74,17881103/17881104,1 osse waagen,1 osse waagen,wagons,15,1,200.0,200.0,0,0,0,0
MOOC10/26.16/5,MOOC10/26.16,18120217,1 oude waagen,een oude waagen,wagons,26,1,220.0,220.0,0,0,1,0
MOOC10/15.74/125,MOOC10/15.74,17881103/17881104,1 paarde waagen,1 paarde waagen,wagons,15,1,300.0,300.0,0,0,0,0
MOOC10/26.50/19,MOOC10/26.50,18120210,1 osse waagen,1 osse waagen,wagons,26,1,300.0,300.0,0,0,0,0
MOOC10/9.27/1,MOOC10/9.27,17071005,1 oude waagen,1 oude waagen,wagons,9,1,4.04,4.04,0,0,1,0
MOOC10/8.32/12,MOOC10/8.32,17611031,1 losse waagen,1 losse waagen,wagons,8,1,12.04,12.04,0,0,0,0
MOOC10/13.9/115,MOOC10/13.9,17800615/17800616,1 osse waagen,1 osse waagen,wagons,13,1,23.04,23.04,0,0,0,0
